Source,Target,Weight,Type
A_1,A_11,2,undirected
A_1,A_4,1,undirected
A_1,A_5,5,undirected
A_10,A_16,1,undirected
A_10,A_19,3,undirected
A_10,A_4,2,undirected
A_11,A_1,2,undirected
A_11,A_13,2,undirected
A_11,A_14,1,undirected
A_11,A_3,2,undirected
A_11,A_4,3,undirected
A_12,A_17,2,undirected
A_12,A_18,3,undirected
A_12,A_4,1,undirected
A_13,A_11,2,undirected
A_13,A_14,5,undirected
A_13,A_16,1,undirected
A_13,A_17,3,undirected
A_13,A_18,3,undirected
A_13,A_19,1,undirected
A_13,A_2,1,undirected
A_13,A_4,6,undirected
A_13,A_5,3,undirected
A_13,A_7,3,undirected
A_13,A_8,3,undirected
A_13,A_9,1,undirected
A_14,A_11,1,undirected
A_14,A_13,5,undirected
A_14,A_15,1,undirected
A_14,A_17,4,undirected
A_14,A_19,2,undirected
A_14,A_20,1,undirected
A_14,A_4,4,undirected
A_14,A_6,3,undirected
A_14,A_8,1,undirected
A_15,A_14,1,undirected
A_15,A_4,2,undirected
A_15,A_9,5,undirected
A_16,A_10,1,undirected
A_16,A_13,1,undirected
A_16,A_3,5,undirected
A_16,A_4,3,undirected
A_16,A_6,1,undirected
A_17,A_12,2,undirected
A_17,A_13,3,undirected
A_17,A_14,4,undirected
A_17,A_4,1,undirected
A_18,A_12,3,undirected
A_18,A_13,3,undirected
A_18,A_2,4,undirected
A_18,A_4,1,undirected
A_19,A_10,3,undirected
A_19,A_13,1,undirected
A_19,A_14,2,undirected
A_19,A_20,3,undirected
A_19,A_4,3,undirected
A_2,A_13,1,undirected
A_2,A_18,4,undirected
A_2,A_4,3,undirected
A_2,A_7,2,undirected
A_20,A_14,1,undirected
A_20,A_19,3,undirected
A_20,A_4,2,undirected
A_3,A_11,2,undirected
A_3,A_16,5,undirected
A_3,A_4,1,undirected
A_4,A_1,1,undirected
A_4,A_10,2,undirected
A_4,A_11,3,undirected
A_4,A_12,1,undirected
A_4,A_13,6,undirected
A_4,A_14,4,undirected
A_4,A_15,2,undirected
A_4,A_16,3,undirected
A_4,A_17,1,undirected
A_4,A_18,1,undirected
A_4,A_19,3,undirected
A_4,A_2,3,undirected
A_4,A_20,2,undirected
A_4,A_3,1,undirected
A_4,A_5,1,undirected
A_4,A_6,2,undirected
A_4,A_7,1,undirected
A_4,A_8,2,undirected
A_4,A_9,4,undirected
A_5,A_1,5,undirected
A_5,A_13,3,undirected
A_5,A_4,1,undirected
A_6,A_14,3,undirected
A_6,A_16,1,undirected
A_6,A_4,2,undirected
A_7,A_13,3,undirected
A_7,A_2,2,undirected
A_7,A_4,1,undirected
A_8,A_13,3,undirected
A_8,A_14,1,undirected
A_8,A_4,2,undirected
A_9,A_13,1,undirected
A_9,A_15,5,undirected
A_9,A_4,4,undirected
B_1,B_12,1,undirected
B_1,B_17,3,undirected
B_1,B_6,2,undirected
B_10,B_17,3,undirected
B_10,B_3,2,undirected
B_10,B_6,1,undirected
B_11,B_13,1,undirected
B_11,B_15,1,undirected
B_11,B_17,5,undirected
B_11,B_18,1,undirected
B_11,B_19,1,undirected
B_11,B_5,1,undirected
B_11,B_6,2,undirected
B_11,B_7,1,undirected
B_11,B_8,1,undirected
B_12,B_1,1,undirected
B_12,B_17,3,undirected
B_12,B_2,1,undirected
B_12,B_3,1,undirected
B_12,B_4,2,undirected
B_12,B_6,2,undirected
B_13,B_11,1,undirected
B_13,B_17,3,undirected
B_13,B_6,2,undirected
B_14,B_17,3,undirected
B_14,B_5,2,undirected
B_14,B_6,1,undirected
B_15,B_11,1,undirected
B_15,B_17,3,undirected
B_15,B_6,2,undirected
B_16,B_17,3,undirected
B_16,B_2,4,undirected
B_16,B_6,1,undirected
B_17,B_1,3,undirected
B_17,B_10,3,undirected
B_17,B_11,5,undirected
B_17,B_12,3,undirected
B_17,B_13,3,undirected
B_17,B_14,3,undirected
B_17,B_15,3,undirected
B_17,B_16,3,undirected
B_17,B_18,4,undirected
B_17,B_19,3,undirected
B_17,B_2,3,undirected
B_17,B_20,2,undirected
B_17,B_3,2,undirected
B_17,B_4,3,undirected
B_17,B_5,3,undirected
B_17,B_6,6,undirected
