"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9"
"A_1" 0 0.428069793072836 0.4049442120687 0.4051169238227 0.384344171193201 0.387879474734536 0.358126107571895 0.400025968399433 0.352849305934072 0.384033375213058 0.450526309280959 0.344691775837026 0.267923980239995 0.319882522089605 0.283083843727589 0.358776328077317 0.380967438916192 0.367859894616745 0.351072563929381 0.383925848902947 1.31692753111035 1.37828635341397 1.38532031414407 1.38518762727507 1.36620966041283 1.39282601930287 1.40973923586177 1.38559526126675 1.39985130812692 1.36606373204534 1.40342920969283 1.36120978410128 1.40328739146899 1.39992477308689 1.3444162283435 1.37753010483641 1.39897704077116 1.36381571858758 1.35759792050205 1.38772210205681 1.22491609349748 1.3090520456112 1.28928214493773 1.29705078036403 1.25327947502261 1.32805960218014 1.290105722202 1.2745513185985 1.32539591674301 1.30155944331022 1.28306898279613 1.27286082726297 1.32475507118195 1.28558922564125 1.24875367059252 1.30015639750493 1.29747966136418 1.20953884916413 1.29858841244418 1.30208899168498
"A_10" 0.428069793072836 0 0.41317462389294 0.35645827866474 0.356476248622897 0.381240407866545 0.276506007427737 0.421872241746333 0.399742838431458 0.3668717995472 0.498330634726225 0.372939147627676 0.34006320675523 0.384172265239239 0.386280528876678 0.362980968415239 0.341995801522483 0.392312252455624 0.358320120678562 0.420806707850846 1.30934232193212 1.33451278159114 1.3498909156281 1.33562915987808 1.32496525240442 1.36074071359124 1.37833843932719 1.3763003877296 1.35004744201547 1.35444088620296 1.36078272247839 1.34405724756639 1.3956356446632 1.35622034804672 1.30852255353771 1.36417662322512 1.38066781778312 1.3446990697532 1.31750021611421 1.3059226558347 1.29729929282043 1.24650530613191 1.33378996641365 1.30194944486304 1.28319710483431 1.35589769469896 1.27604025363672 1.32982233948585 1.28775698753984 1.3234397646983 1.27392994467949 1.29388589575446 1.35538214677409 1.31472009824093 1.21084871454028 1.33549482277878 1.3132529815679 1.30715643973332 1.29291908124956 1.36412635333516
"A_11" 0.4049442120687 0.41317462389294 0 0.414548260394759 0.374025492762168 0.392869430695141 0.346737517977101 0.311652092460881 0.338980374925862 0.369235532876015 0.366613776098901 0.427539309756981 0.286883832590081 0.390816103594373 0.347905109926029 0.411552561335926 0.443637393078454 0.379046404602183 0.295044465865728 0.351350124252264 1.33082717684333 1.37851650875119 1.33934548852392 1.36036244019033 1.34642661053663 1.35946401087998 1.35963722037986 1.36445666809695 1.34665157414348 1.32807337801069 1.3502828049585 1.34868496689187 1.37013281715054 1.37221467563502 1.28893280720267 1.3368219087818 1.35857340351808 1.34776925297495 1.31457048683786 1.32173174432903 1.25276207559273 1.28207114942116 1.34979675408084 1.31429925688769 1.31970944058249 1.35669076738661 1.28904115477402 1.31114154905983 1.3395630228935 1.34547300734454 1.30162381681307 1.33026228760482 1.32513474157825 1.30873004292688 1.28329470620318 1.34081622314326 1.27664363436552 1.31853388065614 1.30769970447024 1.33006551692181
"A_12" 0.4051169238227 0.35645827866474 0.414548260394759 0 0.350707178826418 0.398088032280077 0.32775116819801 0.371939059260069 0.350502028381779 0.382261431595762 0.38836689993606 0.409732500028769 0.294022922107419 0.36555105761085 0.373303222000578 0.311358854561062 0.365977305025286 0.407093326899901 0.382882950458442 0.332581389870282 1.32109199462969 1.32480424756709 1.30429838428644 1.34525054336195 1.33560180732554 1.36469902912907 1.37036635488711 1.37225815195745 1.32359585117782 1.35798645243072 1.37061202094019 1.3534044977452 1.40450551885389 1.376436690885 1.28250151718722 1.31767017071528 1.37625159880573 1.33192823658027 1.34937157905259 1.34374383865661 1.31554689809502 1.26826168224687 1.33641487268627 1.33651499884335 1.28606533087802 1.35052892482727 1.31400037334084 1.32883274671389 1.32400612225637 1.35083786740133 1.30573374869233 1.30672306037545 1.36443579191654 1.31034525267786 1.27664501344964 1.33350106004108 1.32663788163 1.2712105498219 1.33210245336789 1.34516256763375
"A_13" 0.384344171193201 0.356476248622897 0.374025492762168 0.350707178826418 0 0.368730372842753 0.309071346884571 0.38145988209537 0.37204725024631 0.277566807921008 0.389323894483066 0.388438905067961 0.283366301842716 0.362659006180788 0.352524816129294 0.332538529120358 0.393176897154265 0.407097447658974 0.312418282437429 0.336757474207503 1.33591451502979 1.36052977245669 1.37290389569366 1.36174742607523 1.37591623558234 1.38606796002261 1.40816067943747 1.38210286694093 1.36749645435811 1.3596286303776 1.38296681748609 1.38630233639818 1.40057144913221 1.41033319297686 1.31286972221771 1.35539442538251 1.37772555852213 1.37824855145872 1.34784205228252 1.38924069835576 1.33462171186432 1.31352501882529 1.32241058265564 1.29085299495957 1.28235741165662 1.33860193498453 1.30041348346948 1.28632534267798 1.29217082440911 1.31109063429178 1.30202871864387 1.31745315728225 1.3445982298166 1.29746272208436 1.28346939571907 1.32254055182943 1.31306065360804 1.26516208783126 1.28980816413579 1.31149152715436
"A_14" 0.387879474734536 0.381240407866545 0.392869430695141 0.398088032280077 0.368730372842753 0 0.341590307500418 0.324965954871838 0.348598540312367 0.372198070405143 0.447396504036249 0.476130966208014 0.303400498209571 0.380167046164354 0.362705503903142 0.404781402935472 0.407492649223789 0.402251681479791 0.373699429342143 0.368088805258469 1.30138899446343 1.34560707306588 1.33544806719374 1.35727989748551 1.30580898692732 1.33783351873075 1.34815798671585 1.35681628112421 1.36703679357864 1.2785014998203 1.34014138870018 1.34703147853971 1.36247199991591 1.34245831926632 1.36052176933131 1.34135248241124 1.38479466173659 1.35138992180777 1.3299742232371 1.34558213252128 1.32177849106136 1.31498394908008 1.30138698006946 1.30564138682852 1.29464998816552 1.34165523777404 1.32568252746775 1.18425173894197 1.33603130302346 1.33908943004002 1.32236446696378 1.31049030329981 1.33514622275057 1.2700310810428 1.25958316461884 1.32334499155337 1.33566126302698 1.30931575685937 1.32754220037163 1.30304155810035
"A_15" 0.358126107571895 0.276506007427737 0.346737517977101 0.32775116819801 0.309071346884571 0.341590307500418 0 0.332170477474626 0.320027689357624 0.28953001545217 0.37480487281152 0.413067637985335 0.293268401561681 0.375822830068266 0.358002459760492 0.267466282709222 0.339340969274273 0.338903542388782 0.35096484332503 0.329600401977688 1.35608269155095 1.39399096529953 1.38893326156775 1.35974318351521 1.31962014442385 1.37585181888165 1.40449516659363 1.39744395561194 1.3733604400588 1.37806090564314 1.40379238250025 1.38167229188548 1.40963525181578 1.40071887919069 1.3286733375549 1.39608074187755 1.40508240369185 1.38260908462059 1.36594107762214 1.35609131824529 1.33680109083418 1.3171494902667 1.34986534965339 1.308061872776 1.29393449183198 1.3438793961933 1.32380669189798 1.29802061432058 1.31246402911781 1.36713770906713 1.288324932948 1.3255960797274 1.38213824578381 1.32458917400593 1.27740379607462 1.30574385009509 1.31434361918264 1.27546449615156 1.3171087964453 1.31675364078589
"A_16" 0.400025968399433 0.421872241746333 0.311652092460881 0.371939059260069 0.38145988209537 0.324965954871838 0.332170477474626 0 0.348083207335464 0.307280589587107 0.350558686009671 0.458350480325751 0.259157178512732 0.346996979634508 0.35257978470627 0.375992200891798 0.41988917651615 0.309696865637885 0.363733527162532 0.334426685639891 1.34763446085451 1.40281934890953 1.33867004758755 1.34833869746361 1.33393843608907 1.37271445751017 1.37106188026502 1.35461789316584 1.3482398661896 1.34286613663812 1.37394454836274 1.34220389652297 1.36275110803857 1.37966482689482 1.32995741492541 1.35616982491711 1.40934344030738 1.37832314545355 1.32621007989142 1.37720036274509 1.31754960829085 1.28752301577336 1.33561441942911 1.30099489679351 1.29627022577169 1.30215637993281 1.3393180643219 1.26311145137213 1.34683532408044 1.36763487561832 1.27130949765924 1.30094864264812 1.32117615756893 1.30630881141207 1.26836550662066 1.33395265180588 1.34198134703967 1.33870386264994 1.32016512819217 1.33911230367606
"A_17" 0.352849305934072 0.399742838431458 0.338980374925862 0.350502028381779 0.37204725024631 0.348598540312367 0.320027689357624 0.348083207335464 0 0.358231429537537 0.346349554268432 0.429945185880511 0.286310493155889 0.368128135312249 0.364953413640272 0.343354777798576 0.372495404246478 0.375329489391276 0.310284288146001 0.319075999879797 1.34088905356866 1.36693362398433 1.33822291167271 1.3708177724357 1.35436459440212 1.34496377489716 1.38056253360222 1.36075173739213 1.33176465933148 1.3736804204121 1.3701079141358 1.37125343499269 1.38324599679632 1.4094963928197 1.33600474881068 1.35139133033067 1.35815677018214 1.3572543361604 1.33618589775148 1.38255314042924 1.32315253302699 1.31306519105005 1.35232593591468 1.31303579953705 1.30087647519739 1.35500552176781 1.24862166830658 1.29044327247441 1.33378009663709 1.33138719012824 1.32925664677702 1.34506307878479 1.33381410991402 1.27533641028788 1.26957342012058 1.3367451871799 1.3493506272959 1.31134307766768 1.32293916616315 1.32887614334515
"A_18" 0.384033375213058 0.3668717995472 0.369235532876015 0.382261431595762 0.277566807921008 0.372198070405143 0.28953001545217 0.307280589587107 0.358231429537537 0 0.419168075538839 0.406059583979191 0.294027540336662 0.40014795173266 0.369206326647604 0.309072238751932 0.41680414853167 0.295048069788137 0.37341275785826 0.346711609381285 1.32061002919645 1.37676934338993 1.37702492241035 1.3385096176029 1.34200583570163 1.36179428155277 1.37645972086986 1.38228053313076 1.34897781444517 1.36773928195598 1.39810561329464 1.38133987752914 1.32747895644717 1.36300063028582 1.35547608542169 1.37774725965542 1.39020032803283 1.34542351263192 1.33370495984142 1.34224485059844 1.33802456979314 1.30123734788885 1.3270115604027 1.31446865331308 1.25585666246355 1.34714749414553 1.31981924269415 1.34343827434528 1.32771643495673 1.36309974442814 1.27687757489851 1.34543830482121 1.3466688638787 1.28402418736488 1.27152734767053 1.31348860854689 1.309647494713 1.32142633060529 1.28964857310139 1.33178355012474
