"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9"
"the" 8.90688259109312 9.16030534351145 9.765625 9.92063492063492 8.59375 8.87096774193548 8.984375 9.92063492063492 10.15625 9.58333333333333 8.91472868217054 10.0401606425703 8.14814814814815 9.54198473282443 9.80392156862745 8.26771653543307 8.33333333333333 8.73015873015873 8.77862595419847 11.1538461538462 6.97674418604651 7.85714285714286 7.71929824561404 8.63309352517986 7.74907749077491 7.97101449275362 7.5 8.42105263157895 7.55395683453237 8.14814814814815 7.97101449275362 9.23076923076923 8.23970037453184 8.98876404494382 8.14814814814815 8.39416058394161 8.67924528301887 8.33333333333333 9.62962962962963 7.46268656716418 9.05511811023622 9.42028985507246 8.64661654135338 10.1123595505618 8.984375 10.188679245283 10.2941176470588 9.84848484848485 9.81132075471698 8.27067669172932 10 9.43396226415094 10.0719424460432 8.81226053639847 9.29368029739777 9.01960784313725 9.59409594095941 8.51851851851852 10.2272727272727 9.16030534351145
"and" 5.26315789473684 5.34351145038168 5.859375 5.55555555555556 6.25 6.45161290322581 5.859375 5.55555555555556 4.296875 5.83333333333333 5.81395348837209 5.62248995983936 5.18518518518519 4.9618320610687 5.88235294117647 5.51181102362205 4.54545454545455 4.76190476190476 6.10687022900763 4.23076923076923 6.2015503875969 5.35714285714286 5.96491228070175 5.75539568345324 7.01107011070111 5.43478260869565 6.42857142857143 5.96491228070175 6.83453237410072 5.92592592592593 6.15942028985507 6.53846153846154 5.61797752808989 5.99250936329588 5.92592592592593 6.2043795620438 6.41509433962264 4.92424242424242 5.55555555555556 6.34328358208955 5.90551181102362 5.07246376811594 5.6390977443609 5.2434456928839 5.859375 5.66037735849057 5.14705882352941 5.68181818181818 5.28301886792453 6.01503759398496 6.15384615384615 6.41509433962264 6.83453237410072 5.3639846743295 5.20446096654275 5.49019607843137 4.7970479704797 5.18518518518519 5.68181818181818 5.72519083969466
"of" 6.07287449392713 4.9618320610687 6.25 5.55555555555556 4.6875 5.64516129032258 6.25 5.55555555555556 4.6875 5.41666666666667 5.42635658914729 5.62248995983936 4.81481481481481 5.34351145038168 5.49019607843137 5.51181102362205 4.54545454545455 5.55555555555556 5.34351145038168 6.92307692307692 3.87596899224806 5 4.21052631578947 5.39568345323741 4.0590405904059 4.34782608695652 3.92857142857143 4.56140350877193 4.67625899280576 3.7037037037037 4.34782608695652 5 5.2434456928839 5.2434456928839 4.44444444444444 5.83941605839416 4.90566037735849 4.16666666666667 4.07407407407407 3.73134328358209 5.11811023622047 4.71014492753623 6.39097744360902 5.61797752808989 4.6875 6.0377358490566 5.88235294117647 6.43939393939394 5.28301886792453 6.01503759398496 6.15384615384615 5.28301886792453 5.39568345323741 5.3639846743295 4.83271375464684 5.09803921568627 5.90405904059041 5.18518518518519 4.92424242424242 4.58015267175572
"a" 4.45344129554656 4.58015267175572 3.515625 4.36507936507936 4.296875 4.03225806451613 4.296875 4.36507936507936 5.078125 4.58333333333333 4.26356589147287 4.41767068273092 5.18518518518519 5.72519083969466 4.31372549019608 4.7244094488189 4.54545454545455 4.76190476190476 4.19847328244275 5.38461538461539 2.71317829457364 2.5 3.15789473684211 3.23741007194245 3.3210332103321 3.6231884057971 2.85714285714286 3.15789473684211 2.87769784172662 2.96296296296296 3.6231884057971 3.07692307692308 3.74531835205992 3.37078651685393 2.96296296296296 3.28467153284672 3.39622641509434 3.03030303030303 2.96296296296296 2.98507462686567 3.1496062992126 3.26086956521739 3.00751879699248 2.62172284644195 3.125 3.0188679245283 2.94117647058824 2.65151515151515 3.0188679245283 3.00751879699248 2.30769230769231 3.0188679245283 3.59712230215827 3.06513409961686 2.60223048327138 2.74509803921569 3.3210332103321 3.33333333333333 3.03030303030303 3.05343511450382
"to" 2.02429149797571 2.29007633587786 1.953125 2.38095238095238 2.34375 3.62903225806452 1.953125 2.38095238095238 3.515625 2.08333333333333 2.71317829457364 2.00803212851406 2.96296296296296 3.05343511450382 2.35294117647059 2.36220472440945 2.65151515151515 2.77777777777778 3.43511450381679 2.30769230769231 2.71317829457364 1.78571428571429 2.80701754385965 1.43884892086331 1.4760147601476 2.17391304347826 1.42857142857143 2.10526315789474 2.15827338129496 1.85185185185185 3.26086956521739 2.30769230769231 2.24719101123596 1.87265917602996 2.22222222222222 2.91970802919708 1.50943396226415 2.65151515151515 3.33333333333333 2.23880597014925 1.96850393700787 2.17391304347826 1.8796992481203 2.24719101123596 2.734375 3.0188679245283 2.57352941176471 2.65151515151515 3.0188679245283 2.25563909774436 1.92307692307692 2.26415094339623 2.15827338129496 2.29885057471264 1.85873605947955 2.74509803921569 2.2140221402214 2.59259259259259 2.27272727272727 1.90839694656489
"in" 1.21457489878543 1.52671755725191 1.171875 1.98412698412698 1.171875 1.61290322580645 1.171875 1.98412698412698 1.5625 2.08333333333333 1.55038759689922 1.60642570281124 1.11111111111111 1.52671755725191 1.17647058823529 1.18110236220472 1.13636363636364 2.38095238095238 1.52671755725191 1.92307692307692 2.32558139534884 1.07142857142857 1.75438596491228 1.43884892086331 1.8450184501845 2.17391304347826 1.42857142857143 1.40350877192982 1.43884892086331 2.22222222222222 1.44927536231884 1.15384615384615 1.12359550561798 1.49812734082397 1.48148148148148 1.82481751824818 1.88679245283019 1.51515151515152 1.11111111111111 1.49253731343284 1.18110236220472 1.81159420289855 1.50375939849624 1.87265917602996 2.34375 1.50943396226415 1.83823529411765 1.51515151515152 1.50943396226415 1.8796992481203 1.53846153846154 1.50943396226415 1.07913669064748 1.14942528735632 1.11524163568773 1.96078431372549 1.4760147601476 1.48148148148148 1.51515151515152 1.90839694656489
"their" 1.61943319838057 2.67175572519084 0.78125 1.58730158730159 2.34375 0.806451612903226 0.78125 1.58730158730159 1.171875 0.833333333333333 0.775193798449612 0.803212851405622 2.59259259259259 1.14503816793893 1.56862745098039 1.96850393700787 1.89393939393939 1.58730158730159 2.67175572519084 1.53846153846154 0.775193798449612 2.14285714285714 1.40350877192982 1.43884892086331 1.1070110701107 1.08695652173913 1.78571428571429 2.10526315789474 1.79856115107914 2.59259259259259 1.81159420289855 1.15384615384615 2.62172284644195 0.749063670411985 1.48148148148148 2.55474452554745 1.13207547169811 0.757575757575758 1.11111111111111 1.49253731343284 1.18110236220472 1.44927536231884 0.75187969924812 1.12359550561798 0.78125 1.50943396226415 0.735294117647059 1.13636363636364 1.13207547169811 1.50375939849624 0.769230769230769 0.754716981132076 1.43884892086331 0.766283524904215 1.48698884758364 0.784313725490196 0.738007380073801 1.11111111111111 1.13636363636364 1.52671755725191
"with" 1.21457489878543 1.14503816793893 0.78125 1.19047619047619 1.171875 0.806451612903226 1.171875 1.19047619047619 0.78125 0.833333333333333 0.775193798449612 1.20481927710843 1.85185185185185 1.52671755725191 1.96078431372549 1.5748031496063 1.51515151515152 1.19047619047619 1.90839694656489 0.769230769230769 1.55038759689922 2.14285714285714 1.05263157894737 1.43884892086331 1.4760147601476 1.08695652173913 1.42857142857143 1.40350877192982 1.79856115107914 1.48148148148148 1.08695652173913 1.53846153846154 1.87265917602996 1.49812734082397 1.85185185185185 1.45985401459854 1.13207547169811 2.65151515151515 2.22222222222222 1.86567164179104 0.78740157480315 1.08695652173913 0.75187969924812 1.12359550561798 0.78125 0.754716981132076 1.10294117647059 1.51515151515152 1.13207547169811 0.75187969924812 1.15384615384615 1.50943396226415 1.43884892086331 1.53256704980843 1.11524163568773 1.17647058823529 1.4760147601476 1.48148148148148 1.13636363636364 1.14503816793893
"through" 1.61943319838057 1.14503816793893 1.171875 1.19047619047619 1.171875 1.20967741935484 1.5625 1.19047619047619 1.5625 1.25 1.55038759689922 1.20481927710843 1.11111111111111 1.52671755725191 0.784313725490196 1.18110236220472 1.13636363636364 1.19047619047619 0.763358778625954 1.53846153846154 0.775193798449612 1.07142857142857 0.701754385964912 1.07913669064748 1.1070110701107 1.08695652173913 1.07142857142857 1.40350877192982 1.07913669064748 1.11111111111111 1.08695652173913 1.15384615384615 1.12359550561798 0.749063670411985 0.740740740740741 0.72992700729927 0.754716981132076 0.757575757575758 1.48148148148148 0.746268656716418 1.18110236220472 1.08695652173913 1.50375939849624 1.12359550561798 1.171875 1.13207547169811 1.10294117647059 1.13636363636364 1.13207547169811 1.12781954887218 1.15384615384615 1.50943396226415 1.43884892086331 1.14942528735632 1.11524163568773 1.17647058823529 1.1070110701107 1.48148148148148 1.13636363636364 1.14503816793893
"author" 1.21457489878543 1.14503816793893 0.78125 1.19047619047619 1.171875 1.20967741935484 1.171875 1.19047619047619 1.171875 1.25 1.16279069767442 1.20481927710843 1.11111111111111 1.14503816793893 1.17647058823529 1.18110236220472 1.13636363636364 1.19047619047619 0.763358778625954 1.15384615384615 1.16279069767442 1.07142857142857 1.05263157894737 1.07913669064748 1.1070110701107 1.08695652173913 1.07142857142857 1.05263157894737 1.07913669064748 1.11111111111111 1.08695652173913 1.15384615384615 1.12359550561798 1.12359550561798 0.740740740740741 0.72992700729927 0.754716981132076 1.13636363636364 1.11111111111111 1.11940298507463 1.18110236220472 1.08695652173913 1.12781954887218 1.12359550561798 1.171875 1.13207547169811 1.10294117647059 1.13636363636364 1.13207547169811 1.12781954887218 1.15384615384615 1.13207547169811 1.07913669064748 1.14942528735632 1.11524163568773 1.17647058823529 1.1070110701107 1.11111111111111 1.13636363636364 1.14503816793893
