Author,A_1,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_2,A_20,A_3,A_4,A_5,A_6,A_7,A_8,A_9,B_1,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_2,B_20,B_3,B_4,B_5,B_6,B_7,B_8,B_9,C_1,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_2,C_20,C_3,C_4,C_5,C_6,C_7,C_8,C_9
A,0,0.522061579,0.40031297,0.543716404,0.447402909,0.435026306,0.491185549,0.478086483,0.466033926,0.510686835,0.468618288,0.504307825,0.540942068,0.521434129,0.421028848,0.397318733,0.536194344,0.523133241,0.512171744,0.444410415,1.196645417,1.201997945,1.237860792,1.223396779,1.215542673,1.178355058,1.212561371,1.205665278,1.245427216,1.220431977,1.214634518,1.210628583,1.201532478,1.206843299,1.151252469,1.200058255,1.23808911,1.220247525,1.19226821,1.198106282,1.330400255,1.291478573,1.395696109,1.373439762,1.352025167,1.363305179,1.357899525,1.353027782,1.355784428,1.34754003,1.375786578,1.3738447,1.347862477,1.369431057,1.328532584,1.360500146,1.368091436,1.388385986,1.36012639,1.392453034
A,0.522061579,0,0.482289538,0.552974446,0.452151247,0.467600027,0.519854901,0.448918909,0.498834438,0.523853893,0.441185547,0.513337152,0.570337216,0.540311783,0.442424761,0.505725158,0.470986877,0.550956112,0.520654261,0.497727155,1.210717193,1.221488029,1.236764826,1.238048309,1.228868633,1.178453269,1.226056677,1.193416416,1.267214912,1.238049062,1.227719684,1.230066128,1.220895395,1.223930074,1.230160283,1.213005628,1.254323595,1.183128643,1.21820921,1.214078607,1.29883592,1.316354295,1.362101166,1.339860469,1.318897287,1.329593916,1.329569602,1.324230454,1.317754057,1.310744283,1.343727681,1.336994244,1.319581912,1.339325578,1.301075462,1.327795102,1.334784243,1.355158345,1.280100863,1.357194845
A,0.40031297,0.482289538,0,0.504164985,0.384500054,0.388143869,0.447127695,0.427904414,0.423702502,0.464098244,0.425027179,0.455604996,0.505814213,0.410099452,0.355707085,0.441117067,0.472558509,0.484019349,0.464449592,0.435027815,1.224256231,1.229200293,1.270774224,1.253020723,1.24857105,1.212257905,1.240131706,1.23793614,1.2831654,1.252455313,1.242391637,1.24507398,1.233585302,1.237670593,1.242858836,1.217646896,1.20019387,1.254709837,1.230757752,1.213005152,1.337956745,1.354817915,1.406253402,1.380949351,1.357682401,1.369338657,1.369527241,1.353595901,1.36148108,1.353232309,1.385392393,1.381022966,1.358095161,1.380397882,1.327841432,1.36754424,1.36939456,1.398502957,1.369596344,1.400300481
A,0.543716404,0.552974446,0.504164985,0,0.471773261,0.490218214,0.542246778,0.472784198,0.460511698,0.427707299,0.521410355,0.477719897,0.588637174,0.559953145,0.465964335,0.525008975,0.578872115,0.570039558,0.50523267,0.526795086,1.19871882,1.208631313,1.24108092,1.224142245,1.178688177,1.16750412,1.209693741,1.211008595,1.251706376,1.224159242,1.214795182,1.216786348,1.207860246,1.206931153,1.15865037,1.200353571,1.235434004,1.226398768,1.163029979,1.201518677,1.297412076,1.315035708,1.363417912,1.338569711,1.320019197,1.330463515,1.32046466,1.325386261,1.323186357,1.311950476,1.344521503,1.337463484,1.320616681,1.33777246,1.30200982,1.328370971,1.335913709,1.355949958,1.332023425,1.362996755
A,0.447402909,0.452151247,0.384500054,0.471773261,0,0.29838492,0.433387966,0.378035416,0.362636455,0.403991115,0.415383993,0.419365015,0.49714659,0.455916804,0.263294096,0.387436867,0.476875392,0.381814377,0.405430054,0.415762548,1.236126176,1.246429873,1.286794072,1.263522254,1.258466698,1.17092532,1.247554155,1.253058562,1.302243774,1.267120832,1.253348687,1.257191726,1.250435717,1.245912088,1.257264754,1.207068131,1.277654001,1.269038524,1.207344413,1.239554768,1.351949666,1.375468306,1.430505352,1.40097967,1.377639608,1.389971971,1.391627814,1.383463446,1.381292147,1.372762484,1.409667129,1.397470511,1.380583254,1.402727007,1.352329006,1.387741739,1.380230416,1.423099949,1.369943055,1.432744339
A,0.435026306,0.467600027,0.388143869,0.490218214,0.29838492,0,0.429218516,0.395596319,0.358779334,0.449197053,0.406547705,0.438632023,0.482499283,0.460058161,0.299205688,0.407292424,0.412600751,0.467229643,0.421392391,0.424591098,1.228880396,1.238530914,1.266549232,1.255613266,1.251486926,1.216806531,1.243942188,1.198196077,1.286912479,1.258459561,1.244810131,1.245116719,1.229445949,1.242030071,1.248447893,1.193264287,1.273361098,1.256473442,1.235439649,1.231411855,1.355025163,1.372893227,1.424967787,1.401457885,1.375446395,1.387770484,1.387002627,1.383883623,1.373135595,1.377744212,1.404026228,1.398467482,1.375614477,1.394879205,1.346018481,1.385246881,1.39480126,1.417450512,1.366845828,1.423975663
A,0.491185549,0.519854901,0.447127695,0.542246778,0.433387966,0.429218516,0,0.467556103,0.463348428,0.50062903,0.473173025,0.492167991,0.539382173,0.512033503,0.413176062,0.484832814,0.521335426,0.524446914,0.438714903,0.40898097,1.192767989,1.194349825,1.141350043,1.214087724,1.216770213,1.189587193,1.105021014,1.206479929,1.240022659,1.206654577,1.049840605,1.189325697,1.202165115,1.200296037,1.186146824,1.184581583,1.211895676,1.215225895,1.203563466,1.190770301,1.353363644,1.373768773,1.422334592,1.39858556,1.374320947,1.386059036,1.38351741,1.357418214,1.378105028,1.377867157,1.381639903,1.372565329,1.372438008,1.368904334,1.351037105,1.384204522,1.392367628,1.411193434,1.393508228,1.420745045
A,0.478086483,0.448918909,0.427904414,0.472784198,0.378035416,0.395596319,0.467556103,0,0.446293034,0.440100233,0.450511877,0.458289827,0.520731778,0.373062754,0.371416235,0.451549628,0.470342162,0.507754871,0.466450748,0.456764556,1.236874293,1.176046157,1.267920537,1.254469099,1.267392913,1.219090315,1.241627866,1.254680139,1.305544207,1.267771921,1.255722333,1.258693836,1.232966312,1.252121984,1.247060176,1.238158331,1.285980513,1.257618732,1.254961484,1.240966758,1.317728633,1.342582369,1.388729675,1.364695455,1.342198289,1.354240837,1.354218078,1.290877709,1.342269671,1.335846542,1.372628252,1.365873374,1.342736141,1.363681918,1.321001569,1.352973576,1.340161183,1.385005521,1.36059954,1.391537378
A,0.466033926,0.498834438,0.423702502,0.460511698,0.362636455,0.358779334,0.463348428,0.446293034,0,0.48109133,0.443138491,0.469489491,0.517929959,0.455126116,0.39010161,0.401054695,0.506142208,0.499780508,0.480617596,0.45436804,1.167320115,1.219500154,1.206479365,1.234509077,1.231554551,1.198421374,1.181120915,1.220894051,1.264336566,1.235448082,1.226633714,1.223350222,1.211794619,1.215697245,1.22682505,1.21087974,1.246920538,1.181352252,1.214039784,1.211105564,1.346857918,1.364114939,1.381255706,1.391925273,1.370545694,1.382376101,1.378672596,1.375878194,1.37415201,1.370438309,1.3986649,1.393101307,1.36820352,1.390440235,1.347004073,1.380001734,1.388484719,1.411682959,1.38350113,1.416903883
A,0.510686835,0.523853893,0.464098244,0.427707299,0.403991115,0.449197053,0.50062903,0.440100233,0.48109133,0,0.486527596,0.41377244,0.554602813,0.520044132,0.421646186,0.500316566,0.540650402,0.538625805,0.513650852,0.484539123,1.203056162,1.216819984,1.250283142,1.231857701,1.227575855,1.194388641,1.221635501,1.219217931,1.261724285,1.232758316,1.223166059,1.224687071,1.220276791,1.218235488,1.224475389,1.207519967,1.244475197,1.234890951,1.179634462,1.205406685,1.311923393,1.332625238,1.378425981,1.354912114,1.33321385,1.344311665,1.343487581,1.340809136,1.33204062,1.335977159,1.361816955,1.351286567,1.333360812,1.356963425,1.31238354,1.342523799,1.349545084,1.373725762,1.35007678,1.375801016
A,0.468618288,0.441185547,0.425027179,0.521410355,0.415383993,0.406547705,0.473173025,0.450511877,0.443138491,0.486527596,0,0.476336937,0.463248745,0.496601863,0.39866085,0.472218883,0.512632648,0.495062889,0.483682815,0.455010459,1.206312721,1.213864045,1.250732457,1.228424754,1.221036842,1.187274042,1.219593025,1.198910171,1.25222198,1.231832112,1.221223651,1.1686974,1.207538999,1.216245974,1.223294427,1.209167982,1.245158022,1.235618263,1.200967984,1.207777768,1.312677315,1.35731644,1.413053159,1.387726687,1.316295451,1.374099278,1.376046299,1.367531301,1.36581002,1.362496131,1.387202837,1.385037165,1.36552845,1.383107118,1.299490032,1.371969662,1.381391287,1.399793322,1.376791901,1.40885156
A,0.504307825,0.513337152,0.455604996,0.477719897,0.419365015,0.438632023,0.492167991,0.458289827,0.469489491,0.41377244,0.476336937,0,0.549716197,0.516985363,0.406883974,0.474687468,0.476527025,0.446682875,0.446557498,0.480836062,1.211841154,1.191447274,1.256906189,1.237174071,1.237551334,1.194782743,1.222236604,1.227140567,1.271227974,1.239716627,1.227643782,1.230883653,1.22451794,1.128362105,1.230404728,1.216513908,1.249178078,1.241322447,1.227591052,1.214630787,1.279169931,1.347499485,1.398807153,1.371451298,1.349932281,1.361133674,1.36222018,1.360463077,1.348704211,1.345021988,1.378918577,1.370614628,1.352322892,1.372178479,1.330498042,1.305521721,1.367928341,1.391479386,1.365529647,1.40073573
A,0.540942068,0.570337216,0.505814213,0.588637174,0.49714659,0.482499283,0.539382173,0.520731778,0.517929959,0.554602813,0.463248745,0.549716197,0,0.564639087,0.473689562,0.520780509,0.578533037,0.57279681,0.556611718,0.529942943,1.1871644,1.198030991,1.222224297,1.211921131,1.177312667,1.177825921,1.20237553,1.20014739,1.238496939,1.210620018,1.203874979,1.200682147,1.19721449,1.197972947,1.203762751,1.191403391,1.227259023,1.209263848,1.192372058,1.189550323,1.243206522,1.322589955,1.363294397,1.331193238,1.322528613,1.322773947,1.269731739,1.329938766,1.32780129,1.288535008,1.33659613,1.346930726,1.322815887,1.312881237,1.299554147,1.335276007,1.301428662,1.3634291,1.27527419,1.367169566
A,0.521434129,0.540311783,0.410099452,0.559953145,0.455916804,0.460058161,0.512033503,0.373062754,0.455126116,0.520044132,0.496601863,0.516985363,0.564639087,0,0.422075146,0.511297543,0.551534509,0.496677235,0.524966118,0.497731179,1.191807373,1.199776536,1.163191081,1.214289027,1.21058962,1.179624957,1.204872614,1.204689256,1.21162612,1.214486946,1.151365267,1.209038126,1.202437697,1.201503957,1.207687837,1.191221984,1.229243334,1.217824018,1.204056564,1.193094309,1.324457747,1.346142205,1.393833169,1.368796297,1.34656175,1.358073143,1.357186159,1.355409775,1.350196085,1.349970116,1.319967832,1.365474922,1.333560248,1.371363375,1.32702213,1.355760491,1.359985218,1.388516693,1.350247633,1.396372226
A,0.421028848,0.442424761,0.355707085,0.465964335,0.263294096,0.299205688,0.413176062,0.371416235,0.39010161,0.421646186,0.39866085,0.406883974,0.473689562,0.422075146,0,0.400310684,0.445795487,0.461593279,0.415759983,0.321377469,1.241912674,1.248932027,1.263983329,1.274483921,1.276489407,1.227611258,1.261531495,1.215018748,1.279437886,1.274961044,1.263597767,1.263780132,1.259999205,1.259444806,1.267878038,1.241263768,1.28913951,1.275553561,1.263173585,1.236646936,1.360821392,1.38037042,1.427269002,1.403825533,1.378664846,1.391083327,1.390908025,1.389514904,1.378347631,1.349156107,1.412621384,1.380964194,1.362829377,1.409124952,1.352257627,1.390555592,1.398786138,1.422513177,1.329104905,1.427626179
A,0.397318733,0.505725158,0.441117067,0.525008975,0.387436867,0.407292424,0.484832814,0.451549628,0.401054695,0.500316566,0.472218883,0.474687468,0.520780509,0.511297543,0.400310684,0,0.527759642,0.525724458,0.46232102,0.434129295,1.221661868,1.233366901,1.26878703,1.250450703,1.209282006,1.204171496,1.234373445,1.240022462,1.286305767,1.250590221,1.239993143,1.241799747,1.236986486,1.231144361,1.24149114,1.202431062,1.2631489,1.252414379,1.238234201,1.224815229,1.327566444,1.346485559,1.396931027,1.352485533,1.348175339,1.344392309,1.344210078,1.352776199,1.353116639,1.337711981,1.361905492,1.31908636,1.349743882,1.371402891,1.270134086,1.35886774,1.366540763,1.383107365,1.238828744,1.393757741
