,Sc1_A_1,Sc1_A_2,Sc1_A_3,Sc1_A_4,Sc1_A_5,Sc1_A_6,Sc1_A_7,Sc1_A_8,Sc1_A_9,Sc1_A_10,Sc1_A_11,Sc1_A_12,Sc1_A_13,Sc1_A_14,Sc1_A_15,Sc1_A_16,Sc1_A_17,Sc1_A_18,Sc1_A_19,Sc1_A_20,Sc1_B_1,Sc1_B_2,Sc1_B_3,Sc1_B_4,Sc1_B_5,Sc1_B_6,Sc1_B_7,Sc1_B_8,Sc1_B_9,Sc1_B_10,Sc1_B_11,Sc1_B_12,Sc1_B_13,Sc1_B_14,Sc1_B_15,Sc1_B_16,Sc1_B_17,Sc1_B_18,Sc1_B_19,Sc1_B_20,Sc1_C_1,Sc1_C_2,Sc1_C_3,Sc1_C_4,Sc1_C_5,Sc1_C_6,Sc1_C_7,Sc1_C_8,Sc1_C_9,Sc1_C_10,Sc1_C_11,Sc1_C_12,Sc1_C_13,Sc1_C_14,Sc1_C_15,Sc1_C_16,Sc1_C_17,Sc1_C_18,Sc1_C_19,Sc1_C_20
Sc1_A_1,0.0,0.0037272129038317114,0.0035553080617718447,0.003825742441339819,0.004539858263186258,0.0045376531895267025,0.00349037302603894,0.004736773283954943,0.003458021498060404,0.0039708491328636075,0.0028017866945747594,0.004359610017986015,0.0037166036351892195,0.003672812218484367,0.004697125641868527,0.005296521236815233,0.003551580191048287,0.00378591365110148,0.0038570034738986125,0.004225939457596528,0.07611407637711887,0.06302271477212229,0.07056287268338768,0.06891010155235189,0.06658707371239092,0.06880689085659175,0.06853241183672787,0.058844009232825956,0.06404039809084816,0.06770022121876806,0.06798327200289278,0.07175609957916318,0.0640971295019016,0.06377424910798324,0.07032024247817126,0.06090345198759595,0.07257109724826516,0.06123966331665942,0.063456063386365,0.07185302176052288,0.06507973055472338,0.07210097134710902,0.06706392345765155,0.0633139975575654,0.06593162656563767,0.0652283179575186,0.06810770706981228,0.06471025857818025,0.06480100230250896,0.0681096240233402,0.06959984232136462,0.06906067943150629,0.06650449924007751,0.06857760897417686,0.07142379837246526,0.06260506658098874,0.06907412336406804,0.06386766671993804,0.06911560285497109,0.068739992794556
Sc1_A_2,0.0037272129038317114,0.0,0.004400689686502535,0.005355825817631499,0.004786082737616937,0.004777387002367073,0.003636367787757111,0.0028651368190675264,0.0037569318146808417,0.003790217581059574,0.0037913100741497896,0.004320985117677867,0.003907614442874574,0.003479098915485146,0.00619298982620986,0.005362327171200554,0.004246733138333458,0.0030390099548358585,0.0036687627117003574,0.004342814631737801,0.0727704187854421,0.05986974718640803,0.06764854408664422,0.06743506628876916,0.06249047424709031,0.06498021316428604,0.06603436220524517,0.05754886108848589,0.06200341875148818,0.06457291273432075,0.06690099185831366,0.06859484063014987,0.06188670234685656,0.061938230129720995,0.06663409172625112,0.05845429383244927,0.07005239216920589,0.0588979575103562,0.06139076551777356,0.06804037898108184,0.06437328845512624,0.07224651420358108,0.06637992863964537,0.06333298510277108,0.06556030713160899,0.06482112458223921,0.06763542298681668,0.06413540698557274,0.06434856262246647,0.067801379509555,0.06899037658062779,0.06871973753424454,0.0665239988522417,0.06737806213472142,0.07117352383682296,0.062036876192989365,0.06860265450105862,0.0640787581964386,0.06861070088979537,0.06814756706962954
Sc1_A_3,0.0035553080617718447,0.004400689686502535,0.0,0.003426486429608744,0.0030503584352690183,0.003752349484968831,0.0037730885970218564,0.0036593746255775272,0.002724194574469041,0.0030812139963430907,0.0030088541663483293,0.004327947319027192,0.004862132618958959,0.003559198287968579,0.005932471845878529,0.002822826185431504,0.0029153878188175053,0.00417965444205004,0.0029017726211754136,0.0029214677078713835,0.07026992588215542,0.0586740192250228,0.06520958865929205,0.06437368167068702,0.06133483287509611,0.06382440079094509,0.06266134551238245,0.05497553313547787,0.0600027911102623,0.06230945673799937,0.06342080660819749,0.065708303624877,0.05822693089740749,0.059074444816340055,0.0644810436288592,0.05519773457102506,0.0670663153594605,0.057365596844487055,0.059182977626637046,0.06649363174349077,0.05807575093579076,0.06480413460346779,0.0604140794057082,0.05660245518812568,0.059636177486710684,0.05852518560214193,0.06118820323413732,0.05742851415099981,0.05776296775300327,0.06162313411815812,0.062109294441578644,0.062365408018137614,0.059929117155934186,0.06168331356657519,0.06382408691150943,0.05613465943655149,0.06205689253539792,0.057319265439784606,0.06250660103436534,0.0615160966434356
Sc1_A_4,0.003825742441339819,0.005355825817631499,0.003426486429608744,0.0,0.004419607943670467,0.0033997750163219376,0.003962971216122879,0.005315280758794061,0.002804666293934943,0.004366849883539858,0.004452394365240808,0.005090194176531226,0.0045390990552119925,0.004070897884760893,0.005027177051191489,0.004384471740189411,0.0042806164471325125,0.004651721735205783,0.004806167998956168,0.005489377177009924,0.07391740063910901,0.06121363118239442,0.06861064301798014,0.066048214319822,0.06387263806171306,0.06715330422635446,0.06616676601333071,0.057183144268425745,0.06357512479060312,0.06537839362319864,0.0645817589790354,0.06902854033337535,0.061843946684563056,0.062305468918259166,0.06791992290630178,0.05755506773200758,0.07038713269445851,0.060179047992136026,0.06131766714153519,0.07079127672306296,0.05725022546972114,0.06333569446461962,0.05919406811786265,0.05586547282002341,0.058544167725501084,0.05804623618735416,0.05940238918826046,0.05593107531737007,0.05661788552527458,0.059848456634172154,0.06184285169732684,0.06124849851916114,0.058737289360431544,0.06039833075783674,0.06333068263051322,0.05457199967757842,0.06095798230360572,0.05629057115352931,0.06128553208910614,0.061130659463925485
Sc1_A_5,0.004539858263186258,0.004786082737616937,0.0030503584352690183,0.004419607943670467,0.0,0.004975231265037516,0.00465003490152649,0.004631531459366567,0.0031588144697429765,0.0046732889539788935,0.003273180682589638,0.005243615024322024,0.003748948984365841,0.004075315018438608,0.006384617779709334,0.0036043791888978882,0.004345834602668797,0.005348416260618327,0.004377292565383106,0.0037168947255719065,0.0759873561724208,0.0640792304430089,0.0701977010874999,0.0682228592194829,0.06680979592868186,0.06844309535033344,0.06892532088785774,0.05821458051432826,0.06613559908465849,0.0672166378200314,0.06733865517496496,0.07154633124907495,0.0620954196194593,0.06453796132305656,0.06949630603886214,0.06057058091850187,0.07265352960844473,0.061296509985923175,0.06349844134344784,0.07243753721669854,0.059039516849875295,0.06597711111825955,0.06112480160744582,0.05675968497218831,0.061013429365368244,0.05972235383993141,0.06222250144563912,0.05739951058119441,0.059120103749654485,0.06259578795379994,0.06375206667973288,0.06283596466896202,0.0609465246644425,0.062297507304775346,0.06486679651537486,0.05650865270274896,0.0633769337590665,0.058152790835397705,0.06305732622449578,0.06283338798443816
Sc1_A_6,0.0045376531895267025,0.004777387002367073,0.003752349484968831,0.0033997750163219376,0.004975231265037516,0.0,0.003292930061076782,0.004315408517610697,0.003309868526318205,0.0033161795211820166,0.004995351283116567,0.004274213601037635,0.004565151460687478,0.00420438109589516,0.004395415515759948,0.004148597940030863,0.0036973887437499187,0.0037443079055278217,0.004704236897107306,0.0049901527210849395,0.07005655145552403,0.05576970823632643,0.06428567914287253,0.0632978813384859,0.060546524157826354,0.06249606556490683,0.06347637802794093,0.05352664387390327,0.05940823901136716,0.06144686995093396,0.0611254440893777,0.06455886137182698,0.057639513161095834,0.05854987545327284,0.0641643231479595,0.05320275423695997,0.06668334972904444,0.0553783650950368,0.05642176626517159,0.06665896409824024,0.06052866441617799,0.0672739988152331,0.06280277286522684,0.059314163046586876,0.06199287781776286,0.06104000833165102,0.06279943094946772,0.05949791281550454,0.05993030454996495,0.06377615583221607,0.06519691663219274,0.0644705721779335,0.06209035351194814,0.06391286689749853,0.06694640485835313,0.057744951871776196,0.06444452278771706,0.05989750052494758,0.06432771007108207,0.06435710973115338
Sc1_A_7,0.00349037302603894,0.003636367787757111,0.0037730885970218564,0.003962971216122879,0.00465003490152649,0.003292930061076782,0.0,0.004097617572765833,0.0032285234957837305,0.0038789279757518447,0.004318958281754326,0.004833866989560676,0.002410104055611262,0.0029365026275133266,0.0041993392693980836,0.004685447806032084,0.002947436003974069,0.0033501095085186616,0.00419615780175242,0.004057324454784239,0.06991339969910149,0.05793022377736712,0.06480688956005154,0.06350383102761892,0.060883751277458265,0.06265084091047302,0.06386436967507891,0.05351072373783028,0.059530869099541306,0.06173150993007748,0.062167646443759605,0.06544318243128844,0.05813263070811925,0.058632352663971044,0.06456796697736777,0.0552129672679903,0.06695404578099118,0.05623304443426691,0.057734284729065166,0.06640618629731099,0.062031281943057515,0.06897694215137928,0.06457297400313022,0.06122054511808506,0.06381751279710501,0.06268607469414911,0.06488836072687432,0.06118978799212482,0.062222511433797534,0.06556365552717924,0.06659369592138042,0.06656122030651301,0.06407690960891854,0.06550871002270808,0.06897787635305053,0.060164150579686826,0.06632714341278267,0.061871447667776636,0.06631592973646616,0.0663617703937347
Sc1_A_8,0.004736773283954943,0.0028651368190675264,0.0036593746255775272,0.005315280758794061,0.004631531459366567,0.004315408517610697,0.004097617572765833,0.0,0.0031790023962557923,0.0035689628568020826,0.004438255271544067,0.004008619486625453,0.004374970986847693,0.003263199174066367,0.007901386129907428,0.004173456177739343,0.004166334383024495,0.0032141048892213586,0.004549369431780637,0.004222155273377215,0.08104638684120735,0.06771853486384494,0.07525147925013709,0.0750472093269513,0.07093431910457781,0.07261825483083195,0.07405167023719206,0.06371515912523407,0.06939768633364396,0.07225664109809538,0.07419093390993503,0.07649206048354351,0.06756949173065774,0.06930573421665998,0.074732633801874,0.06515849609093127,0.07814887788246838,0.06605973412446531,0.06875814727924301,0.07632164710672074,0.06850461659519169,0.07617246238430175,0.07121537658538268,0.06735052308859046,0.06994203092197127,0.06898187658950983,0.072138769731804,0.06777361565955897,0.06839083438145177,0.07236826877290492,0.07342654034634721,0.07321448804576414,0.07050788693418275,0.07183415657992365,0.07498891090156912,0.06569343887065571,0.07308793784276546,0.06802857958621022,0.07325606216054403,0.07209732837639893
Sc1_A_9,0.003458021498060404,0.0037569318146808417,0.002724194574469041,0.002804666293934943,0.0031588144697429765,0.003309868526318205,0.0032285234957837305,0.0031790023962557923,0.0,0.0032383592179001663,0.0036987160360308913,0.004369163700021272,0.0035717236847653266,0.002992557106231808,0.005228837305152889,0.0034547548799106487,0.0034912703249373456,0.004009683531570274,0.0033032315770664678,0.004050332323911721,0.07673478773126108,0.06365218809059492,0.07075653233289081,0.06895949170800342,0.06666716198909706,0.06839504909184246,0.06962055314672577,0.05935344370539375,0.06585064998192236,0.06773113794747676,0.06757612811689406,0.07151980862654927,0.06384772436993913,0.06458488592941214,0.07002382860861833,0.05978080676845143,0.07290408416941674,0.0619388050456664,0.06373547590194817,0.07295459361565648,0.06350091052595164,0.07064229030366964,0.06602729362378235,0.06229477082955681,0.06508355085870776,0.06434486352292335,0.06644128665173177,0.062229948234535426,0.063359096613269,0.0667532250486308,0.0682620966391988,0.06767506248339661,0.06529425545972689,0.06706405709074692,0.06989849033015172,0.061166644995360064,0.06788669220484078,0.06299330298430572,0.06789638833962264,0.06730119885012587
Sc1_A_10,0.0039708491328636075,0.003790217581059574,0.0030812139963430907,0.004366849883539858,0.0046732889539788935,0.0033161795211820166,0.0038789279757518447,0.0035689628568020826,0.0032383592179001663,0.0,0.004520946537700299,0.004397035593832199,0.0040440253833426976,0.002984730640999911,0.0059408575584698475,0.004337731651128607,0.003500252692458572,0.0034661538454713314,0.002944899040464577,0.003873092452865712,0.07529989236967527,0.06280894947999349,0.06994452151144559,0.06903109946274821,0.06547279565733077,0.06746092628728695,0.06814252008134325,0.05924299288363133,0.06427878768669926,0.06691240786282115,0.06804348374664948,0.07102307598420043,0.06272272737219631,0.0635552681383953,0.06936001614310872,0.05876782587136131,0.07236192585461731,0.060883353208016855,0.06334023672037759,0.0713143996485015,0.061746942956178996,0.0691779803784287,0.06424361118832711,0.06088620782571097,0.0629221592246264,0.06245696991127048,0.06509210631442253,0.061143586892980606,0.06137706116949859,0.06526818687226876,0.06632637437848443,0.06614795619128122,0.0636834043518153,0.0649828285892271,0.06847439995868665,0.05992912133666939,0.0657397188702501,0.06152371910340981,0.06619845263062119,0.06520462881587574
