,Sc2_A_1,Sc2_A_2,Sc2_A_3,Sc2_A_4,Sc2_A_5,Sc2_A_6,Sc2_A_7,Sc2_A_8,Sc2_A_9,Sc2_A_10,Sc2_A_11,Sc2_A_12,Sc2_A_13,Sc2_A_14,Sc2_A_15,Sc2_A_16,Sc2_A_17,Sc2_A_18,Sc2_A_19,Sc2_A_20,Sc2_B_1,Sc2_B_2,Sc2_B_3,Sc2_B_4,Sc2_B_5,Sc2_B_6,Sc2_B_7,Sc2_B_8,Sc2_B_9,Sc2_B_10,Sc2_B_11,Sc2_B_12,Sc2_B_13,Sc2_B_14,Sc2_B_15,Sc2_B_16,Sc2_B_17,Sc2_B_18,Sc2_B_19,Sc2_B_20,Sc2_C_1,Sc2_C_2,Sc2_C_3,Sc2_C_4,Sc2_C_5,Sc2_C_6,Sc2_C_7,Sc2_C_8,Sc2_C_9,Sc2_C_10,Sc2_C_11,Sc2_C_12,Sc2_C_13,Sc2_C_14,Sc2_C_15,Sc2_C_16,Sc2_C_17,Sc2_C_18,Sc2_C_19,Sc2_C_20
Sc2_A_1,0.0,0.039249523654763085,0.04207056800352049,0.05791655167152965,0.04165348684413639,0.04295703391364325,0.0503721737278916,0.056918929771485605,0.05002658255594994,0.06789057055768055,0.06985982294636839,0.07438246550329874,0.06982154833284959,0.06040282186534529,0.0702093563688665,0.08699277489759738,0.07468400447674461,0.07095573103516883,0.07134074439875238,0.049834123898048754,0.5355772238722678,0.5225815931691925,0.4774365180266036,0.5001338181392814,0.492203629246899,0.4683100273887961,0.5190578832631886,0.4995588385890941,0.4859549581390591,0.4912914543792588,0.4771567616532554,0.5209760625925727,0.4627885682227658,0.5249239119851468,0.5095028383682418,0.5188535420003028,0.5062022163480064,0.5036940008020943,0.5096958836130674,0.5166597101119275,0.34992690542465454,0.3174173666704603,0.33684917166854145,0.31911065319485943,0.3437925787903652,0.3518654087349634,0.30658909408224555,0.36044208468556715,0.3346052511499531,0.32154460711501176,0.3393789939612739,0.3456172685304425,0.33715830707114147,0.36296776741500425,0.3535237008321478,0.3422682080374623,0.35974368897590436,0.32473536877547404,0.3649712599856324,0.3695816589967935
Sc2_A_2,0.039249523654763085,0.0,0.0502336047311428,0.05862244639596459,0.04067011844178181,0.037681048554285335,0.05396615951382744,0.05553494372352896,0.04650519243926188,0.061698125219429745,0.06558778798546194,0.07566807406205245,0.06388403280079369,0.059331116810256046,0.061454877561628596,0.0781580457947979,0.07146970170010103,0.06451978727036367,0.06320766740415107,0.04730121604995774,0.5465564819112305,0.5312042301505137,0.4864889476315718,0.5072974000759327,0.501368116132768,0.47720444609591295,0.5332347943703194,0.5072606131323021,0.4957852034653413,0.5018090671792206,0.4858014173356857,0.5322142089392367,0.47087689759892515,0.5370224052168996,0.5228357730466391,0.5303551396305355,0.5166373765899075,0.5115276568522269,0.5217528661895854,0.5274915364840492,0.36221372966524146,0.3313747500667594,0.34802924010273284,0.3284292330769527,0.36044862819497814,0.3640779988829874,0.3219999709677517,0.37851737460402146,0.34819210503568443,0.33388665734719924,0.3533517578009523,0.3492424026799843,0.348490889819728,0.3759863597628359,0.36513996865347154,0.35403554718689234,0.37397139530378487,0.33094766903333583,0.37881357961832485,0.37534783578263287
Sc2_A_3,0.04207056800352049,0.0502336047311428,0.0,0.04440410997701805,0.031338467061653996,0.036138479573405435,0.04132584669617301,0.038350991337940066,0.036292883442903934,0.04080328636471586,0.05405377188731486,0.051389217504347884,0.045594573648007564,0.04407914407368474,0.046643954276669786,0.06418118266592898,0.05934551149245526,0.0500038258232397,0.04954495208089715,0.036815566773014674,0.5249673474382541,0.5086111763613304,0.4691097860949418,0.4899246274004684,0.4789976090592448,0.4500840033584875,0.5095176512754537,0.4868939135305028,0.4752046403056124,0.48709881907961405,0.4618275751108101,0.5073679039279038,0.4460259943803051,0.5150059030681957,0.49860370759239836,0.5093353764227952,0.49357095230760195,0.48783249764835324,0.5047378148330399,0.5051843686555777,0.3824151090206348,0.3431272138935235,0.3642464369627668,0.3474464142387387,0.3700905193137036,0.3814517342895539,0.32919549874103227,0.3841403703545685,0.3548751085966795,0.3419256017258292,0.36625941036284004,0.3530808936762029,0.3646393969534443,0.38920204992899765,0.37246854846133925,0.3568842609937952,0.3806893594521795,0.3447815930138656,0.39209972447866337,0.38948134689107905
Sc2_A_4,0.05791655167152965,0.05862244639596459,0.04440410997701805,0.0,0.039387863735757644,0.04916828802789919,0.0421274404732932,0.0589415992442085,0.05027264487346128,0.06404819464147193,0.06297133935494503,0.06940840444869067,0.06414429958905554,0.05794908385229103,0.06402120949090528,0.08070711068276026,0.0767079879781083,0.07041209918407021,0.06650349955424573,0.047073465915751234,0.5579402936386765,0.5453455013959804,0.5019314832854144,0.523274667873327,0.5102161682923518,0.48609223129214796,0.5439645184863002,0.5207605006794694,0.5084322678972495,0.5163005484510863,0.49680308048709876,0.5361734428176951,0.47775456653762716,0.5516020769957982,0.5314114839133348,0.5435768182268075,0.5298548124836607,0.5232471179764675,0.541808407240045,0.5419559199290167,0.4027382140878849,0.36076998646260194,0.3806869595911373,0.3566471500530486,0.39336580589263803,0.39215037913871986,0.3499894877569155,0.40182290834731293,0.3672649774245317,0.36134472151071284,0.38020666197976083,0.36989049259535534,0.3725601803495755,0.4017133577226675,0.394517062663874,0.37958017658428633,0.40048105308257465,0.3527503881841543,0.4079748452235471,0.4074091051754195
Sc2_A_5,0.04165348684413639,0.04067011844178181,0.031338467061653996,0.039387863735757644,0.0,0.025706088221568058,0.03126391462000455,0.03607239717034183,0.02623395615977886,0.03916975392876543,0.04132060338068977,0.04541016443794477,0.04236588818087017,0.033762405981056065,0.03476207799481412,0.055370752684767766,0.05064646562663677,0.04443171984328087,0.04104397805614912,0.02759749128121569,0.5541679812543003,0.5382294952752679,0.4942143865148718,0.5151314789326873,0.5052206825190544,0.4778752396396163,0.5372776152019263,0.5133558095786703,0.49884165243015055,0.5112657840615153,0.4859922600764075,0.5326481330655373,0.46947747834661857,0.5387280550761697,0.5230115012256662,0.5338365185081877,0.51968142126396,0.5157163934648324,0.5293717946233623,0.5299907148627241,0.39503225683367404,0.35559074452545836,0.37759634226770566,0.35628365483784397,0.3870585460865156,0.38796141932855954,0.34327916898313915,0.4005330905824357,0.364831677329149,0.35504606559825636,0.37732994390957597,0.3662656684005292,0.36813524049137647,0.40188098998548305,0.3856555471406007,0.37198025846223604,0.397689325086658,0.3495882472360009,0.4074104137387806,0.3972365635530688
Sc2_A_6,0.04295703391364325,0.037681048554285335,0.036138479573405435,0.04916828802789919,0.025706088221568058,0.0,0.02887231450710004,0.03434603069633402,0.02709084035107079,0.035380954748648996,0.03884341659607937,0.04297709512816905,0.03954746892237204,0.03385239126806139,0.035143101802201815,0.050966306043809584,0.04726742252984928,0.04118782801744214,0.03487509464557059,0.02896591491870848,0.5374516627143848,0.5218747848119967,0.4810884972240361,0.4957486515005186,0.4875600292106087,0.459422775782624,0.5167244234787596,0.496801826770065,0.48503537938080676,0.4951584135358661,0.47372852537943866,0.514068578017451,0.452443609738721,0.518981700971417,0.5080820681031143,0.5150822345373713,0.5000138876773145,0.49755767604513934,0.5094207694945727,0.5134878111969535,0.40451887857963775,0.3640334200179064,0.3871981878282539,0.3670594524358374,0.38798592646393726,0.3998285128006688,0.34882663882097287,0.412987131070891,0.3761184204477622,0.36550610202724765,0.38830391541089115,0.37556944559196936,0.37756236582023905,0.4124337308270464,0.39867309495298076,0.3776935187685524,0.40712884608518973,0.3615085667143514,0.41646996424098404,0.41274088466145553
Sc2_A_7,0.0503721737278916,0.05396615951382744,0.04132584669617301,0.0421274404732932,0.03126391462000455,0.02887231450710004,0.0,0.041563834140301514,0.028141016780760197,0.038262289962010865,0.039506011372859806,0.042593070550651424,0.038671215814419235,0.036940863434542504,0.03805111925460758,0.048771952488978365,0.05065224548261826,0.040608245256194,0.0407058334802729,0.02678429293545259,0.5564366928343789,0.5415029603309535,0.5013683460890213,0.5140266365810136,0.5047771230260836,0.4774954241505689,0.5357365511071451,0.5125129333444477,0.5068532133024335,0.5146393235751431,0.48972959101991753,0.5297267035848879,0.46575285999824123,0.5418007619471465,0.5256240549614598,0.5354626966792916,0.5228191148011998,0.5183656716675198,0.5310369756149591,0.5309733037526059,0.42520408435990886,0.3835235707334754,0.40534164473546686,0.3905576282989377,0.4144657863220037,0.4204190920305726,0.3726181005560186,0.4361664582598399,0.39373376728180165,0.3838229111673349,0.40882279301590385,0.3918218320968927,0.39683809401753556,0.4283938165412512,0.42132844512518175,0.40390464315507757,0.42745225778138773,0.3782266752964709,0.4375065105404766,0.4333775764443064
Sc2_A_8,0.056918929771485605,0.05553494372352896,0.038350991337940066,0.0589415992442085,0.03607239717034183,0.03434603069633402,0.041563834140301514,0.0,0.03154993167640108,0.02812009829169393,0.03402791049430243,0.03158221797867933,0.02543810498711707,0.03266512632005292,0.03150922561972758,0.0346723931076639,0.037776893411443746,0.03180221809259198,0.03712362459444729,0.039190868087328745,0.5634476900245622,0.5481841397352276,0.5046168496546487,0.5251057506502652,0.5129907055239583,0.47848958218265314,0.5477990259932458,0.5234125506583922,0.5118711504430756,0.5256801650281866,0.5000823785084584,0.5411790868692472,0.4740608175760448,0.5484419071662512,0.5318003378263871,0.5422211132102988,0.5244811961164139,0.5227039143609566,0.5382587051623033,0.5389782018336517,0.4116120987626134,0.372353914477231,0.3910036057123124,0.3765060813586729,0.3993203662864234,0.4084667982913541,0.35443401723785883,0.4198346500516654,0.3802798551364912,0.36330724814368653,0.3955624981016951,0.380225952562361,0.3899140904368954,0.4201870098227538,0.4053454405848834,0.38755966412172704,0.41763435820995054,0.3725862452273203,0.42555809847601256,0.41951001606065397
Sc2_A_9,0.05002658255594994,0.04650519243926188,0.036292883442903934,0.05027264487346128,0.02623395615977886,0.02709084035107079,0.028141016780760197,0.03154993167640108,0.0,0.029755018947913214,0.034506381066973124,0.03325337861545841,0.0327553405049571,0.025716909343809102,0.0245942021294685,0.04367408705739484,0.040672816130478906,0.035958942631642454,0.031459244120522145,0.0272423441159535,0.5633260018007362,0.5502243726416944,0.5040807933784608,0.5286925874567983,0.5165388919331194,0.4876863689278189,0.5498331242190477,0.52905849736869,0.5109745842512375,0.5261001477785491,0.4979663394736974,0.5482092761962996,0.48190189199884925,0.5515603160798492,0.5374868899941204,0.5477347911057211,0.5304674482786358,0.5266597080108262,0.5409311714111427,0.5421701885287373,0.4134913682421061,0.3741194463179255,0.3953699177581149,0.375554145825741,0.4042673681353066,0.41219745155899146,0.36409133231127977,0.4201811515904882,0.38746828614143847,0.3743545614407441,0.39654900416404704,0.3910930734028012,0.3933333528277638,0.42386483026968913,0.40412145858115356,0.3934437523807831,0.42048744924142056,0.372789745270533,0.4248476345920883,0.4213990091575024
Sc2_A_10,0.06789057055768055,0.061698125219429745,0.04080328636471586,0.06404819464147193,0.03916975392876543,0.035380954748648996,0.038262289962010865,0.02812009829169393,0.029755018947913214,0.0,0.02765511701571277,0.029490065143784827,0.02415076865726906,0.020861944051976722,0.024671464151300615,0.03148134332562458,0.032879432836777855,0.025250178082316777,0.02564001252647763,0.03844896362152139,0.5580736718846188,0.5481622590195504,0.5023835771044498,0.5255323026559146,0.511578916408019,0.48207068759277216,0.5437024752121259,0.5209882652462725,0.5058757133133619,0.5269646160233032,0.4946317687100278,0.5386095268840472,0.46891342682325055,0.5473143749272772,0.5320415013757456,0.5444911515288575,0.5266076016684045,0.5215767006714921,0.5364202005136542,0.5359145291843338,0.4241203521608785,0.38061153031318296,0.4083832392567096,0.3875836336416182,0.4162608629594994,0.420050575815327,0.371793736027517,0.4328268993586939,0.3954037179513563,0.37919229695636236,0.40894516469132125,0.39087812252886067,0.40022904273029836,0.43381924826297946,0.4110834312186119,0.3959583711827106,0.4286236382406555,0.3794729832627436,0.43621124398211175,0.4301686849122045
