source,target,cosine_distance
Sc5_A_1,Sc5_A_1,0.0
Sc5_A_2,Sc5_A_1,0.011497373526846544
Sc5_A_3,Sc5_A_1,0.009881515370690597
Sc5_A_4,Sc5_A_1,0.01076162401411851
Sc5_A_5,Sc5_A_1,0.015181108890267692
Sc5_A_6,Sc5_A_1,0.03211173897773034
Sc5_A_7,Sc5_A_1,0.026316436748217376
Sc5_A_8,Sc5_A_1,0.022548126253723266
Sc5_A_9,Sc5_A_1,0.023575042707363658
Sc5_A_10,Sc5_A_1,0.024004690779140025
Sc5_A_11,Sc5_A_1,0.030508347746790565
Sc5_A_12,Sc5_A_1,0.025729568564609395
Sc5_A_13,Sc5_A_1,0.021751777725521837
Sc5_A_14,Sc5_A_1,0.030445281658514678
Sc5_A_15,Sc5_A_1,0.02012559941351788
Sc5_A_16,Sc5_A_1,0.028623528368439843
Sc5_A_17,Sc5_A_1,0.02430156098637337
Sc5_A_18,Sc5_A_1,0.02482281640610151
Sc5_A_19,Sc5_A_1,0.024108265788478467
Sc5_A_20,Sc5_A_1,0.03174231880340228
Sc5_B_1,Sc5_A_1,0.0010333281263134042
Sc5_B_2,Sc5_A_1,0.012509810952097578
Sc5_B_3,Sc5_A_1,0.011122315645098135
Sc5_B_4,Sc5_A_1,0.012149226972155036
Sc5_B_5,Sc5_A_1,0.017499614983573997
Sc5_B_6,Sc5_A_1,0.03535301570880789
Sc5_B_7,Sc5_A_1,0.029206004633772986
Sc5_B_8,Sc5_A_1,0.02555603654038785
Sc5_B_9,Sc5_A_1,0.025620237470394436
Sc5_B_10,Sc5_A_1,0.026198322613210423
Sc5_B_11,Sc5_A_1,0.03406817726130962
Sc5_B_12,Sc5_A_1,0.028756926417525586
Sc5_B_13,Sc5_A_1,0.023542479975141695
Sc5_B_14,Sc5_A_1,0.03313481929001083
Sc5_B_15,Sc5_A_1,0.02293044973220204
Sc5_B_16,Sc5_A_1,0.03163502065624302
Sc5_B_17,Sc5_A_1,0.026614631711229242
Sc5_B_18,Sc5_A_1,0.026508981015958
Sc5_B_19,Sc5_A_1,0.025515976179025124
Sc5_B_20,Sc5_A_1,0.03487521162423757
Sc5_C_1,Sc5_A_1,0.0006225974256676148
Sc5_C_2,Sc5_A_1,0.011641200969214394
Sc5_C_3,Sc5_A_1,0.010146973580567376
Sc5_C_4,Sc5_A_1,0.011373062747389806
Sc5_C_5,Sc5_A_1,0.015264636722264302
Sc5_C_6,Sc5_A_1,0.03282211820082137
Sc5_C_7,Sc5_A_1,0.025949686849161657
Sc5_C_8,Sc5_A_1,0.02320721991032626
Sc5_C_9,Sc5_A_1,0.024507995349674738
Sc5_C_10,Sc5_A_1,0.023873772135824645
Sc5_C_11,Sc5_A_1,0.03158157679955875
Sc5_C_12,Sc5_A_1,0.026293868246012098
Sc5_C_13,Sc5_A_1,0.022503220620650688
Sc5_C_14,Sc5_A_1,0.03013709920236729
Sc5_C_15,Sc5_A_1,0.021204228474004938
Sc5_C_16,Sc5_A_1,0.030132450804646438
Sc5_C_17,Sc5_A_1,0.024327799149111318
Sc5_C_18,Sc5_A_1,0.024347916740967146
Sc5_C_19,Sc5_A_1,0.02530299484144627
Sc5_C_20,Sc5_A_1,0.03174878019150973
Sc5_A_1,Sc5_A_2,0.011497373526846544
Sc5_A_2,Sc5_A_2,0.0
Sc5_A_3,Sc5_A_2,0.011202204680765049
Sc5_A_4,Sc5_A_2,0.00969667462142565
Sc5_A_5,Sc5_A_2,0.013405885876222268
Sc5_A_6,Sc5_A_2,0.020143969663415806
Sc5_A_7,Sc5_A_2,0.02192278776678458
Sc5_A_8,Sc5_A_2,0.019401461462921432
Sc5_A_9,Sc5_A_2,0.016592248763254824
Sc5_A_10,Sc5_A_2,0.025469644823675308
Sc5_A_11,Sc5_A_2,0.022524423050562126
Sc5_A_12,Sc5_A_2,0.02095575463770849
Sc5_A_13,Sc5_A_2,0.02049921509892516
Sc5_A_14,Sc5_A_2,0.028322673871644777
Sc5_A_15,Sc5_A_2,0.02416735654425639
Sc5_A_16,Sc5_A_2,0.02209431536370121
Sc5_A_17,Sc5_A_2,0.027353715749904528
Sc5_A_18,Sc5_A_2,0.023429881231091576
Sc5_A_19,Sc5_A_2,0.026807089697972963
Sc5_A_20,Sc5_A_2,0.02263399375204822
Sc5_B_1,Sc5_A_2,0.013022939842244896
Sc5_B_2,Sc5_A_2,0.0010486489271402943
Sc5_B_3,Sc5_A_2,0.01272972488612556
Sc5_B_4,Sc5_A_2,0.011331157227460698
Sc5_B_5,Sc5_A_2,0.01596392911229938
Sc5_B_6,Sc5_A_2,0.023434436081980814
Sc5_B_7,Sc5_A_2,0.02500185613836292
Sc5_B_8,Sc5_A_2,0.022622366407313743
Sc5_B_9,Sc5_A_2,0.018770891335982642
Sc5_B_10,Sc5_A_2,0.0279593084908194
Sc5_B_11,Sc5_A_2,0.026206391193555834
Sc5_B_12,Sc5_A_2,0.024160303348748857
Sc5_B_13,Sc5_A_2,0.022534620963328034
Sc5_B_14,Sc5_A_2,0.031233490631830674
Sc5_B_15,Sc5_A_2,0.027312207827083435
Sc5_B_16,Sc5_A_2,0.025258918023450483
Sc5_B_17,Sc5_A_2,0.02998543158612399
Sc5_B_18,Sc5_A_2,0.02564988393844514
Sc5_B_19,Sc5_A_2,0.028525770336600975
Sc5_B_20,Sc5_A_2,0.02586526740127859
Sc5_C_1,Sc5_A_2,0.012945778052567691
Sc5_C_2,Sc5_A_2,0.0006251060782284101
Sc5_C_3,Sc5_A_2,0.012132055599637037
Sc5_C_4,Sc5_A_2,0.010952833648893545
Sc5_C_5,Sc5_A_2,0.014137360783113229
Sc5_C_6,Sc5_A_2,0.021334842721924208
Sc5_C_7,Sc5_A_2,0.022156404327650203
Sc5_C_8,Sc5_A_2,0.020682636149314426
Sc5_C_9,Sc5_A_2,0.018083986784465877
Sc5_C_10,Sc5_A_2,0.026024270798826632
Sc5_C_11,Sc5_A_2,0.024124606727555897
Sc5_C_12,Sc5_A_2,0.022097580227689595
Sc5_C_13,Sc5_A_2,0.021896055635143408
Sc5_C_14,Sc5_A_2,0.028623018251420884
Sc5_C_15,Sc5_A_2,0.02596206205971252
Sc5_C_16,Sc5_A_2,0.024194207055709516
Sc5_C_17,Sc5_A_2,0.0280747458788575
Sc5_C_18,Sc5_A_2,0.023886520006918932
Sc5_C_19,Sc5_A_2,0.028678646578685463
Sc5_C_20,Sc5_A_2,0.02314062348626622
Sc5_A_1,Sc5_A_3,0.009881515370690597
Sc5_A_2,Sc5_A_3,0.011202204680765049
Sc5_A_3,Sc5_A_3,0.0
Sc5_A_4,Sc5_A_3,0.011203952805993178
Sc5_A_5,Sc5_A_3,0.008131402023740297
Sc5_A_6,Sc5_A_3,0.02871059196474124
Sc5_A_7,Sc5_A_3,0.023609256272689283
Sc5_A_8,Sc5_A_3,0.022186390681179335
Sc5_A_9,Sc5_A_3,0.02531221105657877
Sc5_A_10,Sc5_A_3,0.027203956337868207
Sc5_A_11,Sc5_A_3,0.030955282528924544
Sc5_A_12,Sc5_A_3,0.01756679643122694
