Source,Target,Weight,Type
0,1,10,undirected
0,2,12,undirected
0,3,28,undirected
0,4,32,undirected
0,5,7,undirected
0,6,4,undirected
0,7,19,undirected
0,8,7,undirected
0,9,60,undirected
0,10,17,undirected
0,11,1,undirected
0,13,1,undirected
0,14,29,undirected
0,15,24,undirected
0,17,21,undirected
0,19,1,undirected
0,20,1,undirected
0,31,16,undirected
0,40,36,undirected
0,55,13,undirected
1,0,10,undirected
1,3,7,undirected
1,5,3,undirected
1,7,3,undirected
1,8,2,undirected
1,9,16,undirected
1,14,22,undirected
1,16,6,undirected
1,18,1,undirected
1,49,7,undirected
2,0,12,undirected
2,6,66,undirected
2,9,7,undirected
2,15,12,undirected
2,17,7,undirected
2,19,6,undirected
2,58,2,undirected
3,0,28,undirected
3,1,7,undirected
3,3,54,undirected
3,4,1,undirected
3,5,25,undirected
3,6,9,undirected
3,7,12,undirected
3,8,1,undirected
3,9,10,undirected
3,10,3,undirected
3,11,24,undirected
3,13,10,undirected
3,15,1,undirected
3,16,6,undirected
3,17,10,undirected
3,18,3,undirected
3,19,21,undirected
3,40,1,undirected
3,44,4,undirected
3,45,6,undirected
3,47,1,undirected
3,55,4,undirected
4,0,32,undirected
4,3,1,undirected
4,8,9,undirected
4,9,16,undirected
4,13,5,undirected
4,14,2,undirected
4,17,3,undirected
4,18,6,undirected
4,20,2,undirected
4,40,8,undirected
4,53,7,undirected
5,0,7,undirected
5,1,3,undirected
5,3,25,undirected
5,6,4,undirected
5,7,18,undirected
5,8,3,undirected
5,9,55,undirected
5,10,25,undirected
5,11,2,undirected
5,17,5,undirected
5,18,1,undirected
5,20,3,undirected
5,31,7,undirected
5,40,5,undirected
5,44,43,undirected
5,53,3,undirected
5,55,3,undirected
5,59,2,undirected
6,0,4,undirected
6,2,66,undirected
6,3,9,undirected
6,5,4,undirected
6,7,3,undirected
6,9,13,undirected
6,55,1,undirected
7,0,19,undirected
7,1,3,undirected
7,3,12,undirected
7,5,18,undirected
7,6,3,undirected
7,7,54,undirected
7,9,6,undirected
7,10,1,undirected
7,11,15,undirected
7,13,3,undirected
7,16,2,undirected
7,17,5,undirected
7,18,2,undirected
7,19,12,undirected
7,45,1,undirected
7,55,2,undirected
8,0,7,undirected
8,1,2,undirected
8,3,1,undirected
8,4,9,undirected
8,5,3,undirected
8,9,33,undirected
8,17,3,undirected
8,18,25,undirected
8,19,2,undirected
8,44,9,undirected
8,55,6,undirected
9,0,60,undirected
9,1,16,undirected
9,2,7,undirected
9,3,10,undirected
9,4,16,undirected
9,5,55,undirected
9,6,13,undirected
9,7,6,undirected
9,8,33,undirected
9,10,18,undirected
9,11,25,undirected
9,14,19,undirected
9,15,5,undirected
9,17,24,undirected
9,18,3,undirected
9,20,8,undirected
9,40,23,undirected
9,44,20,undirected
9,50,10,undirected
9,55,27,undirected
9,59,8,undirected
10,0,17,undirected
10,3,3,undirected
10,5,25,undirected
10,7,1,undirected
10,9,18,undirected
10,11,1,undirected
10,19,1,undirected
11,0,1,undirected
11,3,24,undirected
11,5,2,undirected
11,7,15,undirected
11,9,25,undirected
11,10,1,undirected
11,15,21,undirected
11,16,5,undirected
11,17,16,undirected
11,19,3,undirected
11,51,2,undirected
11,55,2,undirected
12,16,3,undirected
12,18,12,undirected
12,21,10,undirected
12,27,1,undirected
12,32,2,undirected
12,41,10,undirected
12,46,9,undirected
12,52,35,undirected
12,57,6,undirected
13,0,1,undirected
13,3,10,undirected
13,4,5,undirected
13,7,3,undirected
13,16,4,undirected
