Source,Target,Weight,Type
Sc5_A_1,Sc5_A_12,2,undirected
Sc5_A_1,Sc5_B_1,5,undirected
Sc5_A_1,Sc5_C_1,6,undirected
Sc5_A_10,Sc5_A_17,1,undirected
Sc5_A_10,Sc5_B_10,5,undirected
Sc5_A_10,Sc5_C_10,6,undirected
Sc5_A_11,Sc5_A_16,1,undirected
Sc5_A_11,Sc5_A_6,2,undirected
Sc5_A_11,Sc5_B_11,5,undirected
Sc5_A_11,Sc5_C_11,6,undirected
Sc5_A_12,Sc5_A_1,2,undirected
Sc5_A_12,Sc5_B_12,5,undirected
Sc5_A_12,Sc5_C_12,6,undirected
Sc5_A_13,Sc5_A_19,2,undirected
Sc5_A_13,Sc5_B_13,5,undirected
Sc5_A_13,Sc5_C_13,6,undirected
Sc5_A_14,Sc5_A_17,2,undirected
Sc5_A_14,Sc5_A_18,1,undirected
Sc5_A_14,Sc5_A_7,1,undirected
Sc5_A_14,Sc5_B_14,5,undirected
Sc5_A_14,Sc5_C_14,6,undirected
Sc5_A_15,Sc5_A_18,1,undirected
Sc5_A_15,Sc5_B_15,5,undirected
Sc5_A_15,Sc5_C_15,6,undirected
Sc5_A_16,Sc5_A_11,1,undirected
Sc5_A_16,Sc5_B_16,5,undirected
Sc5_A_16,Sc5_C_16,6,undirected
Sc5_A_17,Sc5_A_10,1,undirected
Sc5_A_17,Sc5_A_14,2,undirected
Sc5_A_17,Sc5_B_17,5,undirected
Sc5_A_17,Sc5_C_17,6,undirected
Sc5_A_18,Sc5_A_14,1,undirected
Sc5_A_18,Sc5_A_15,1,undirected
Sc5_A_18,Sc5_B_18,5,undirected
Sc5_A_18,Sc5_C_18,6,undirected
Sc5_A_19,Sc5_A_13,2,undirected
Sc5_A_19,Sc5_A_5,1,undirected
Sc5_A_19,Sc5_B_19,5,undirected
Sc5_A_19,Sc5_C_19,6,undirected
Sc5_A_2,Sc5_A_3,2,undirected
Sc5_A_2,Sc5_A_4,1,undirected
Sc5_A_2,Sc5_B_2,5,undirected
Sc5_A_2,Sc5_C_2,6,undirected
Sc5_A_20,Sc5_A_6,1,undirected
Sc5_A_20,Sc5_B_20,5,undirected
Sc5_A_20,Sc5_C_20,6,undirected
Sc5_A_3,Sc5_A_2,2,undirected
Sc5_A_3,Sc5_B_3,5,undirected
Sc5_A_3,Sc5_C_3,6,undirected
Sc5_A_4,Sc5_A_2,1,undirected
Sc5_A_4,Sc5_B_4,5,undirected
Sc5_A_4,Sc5_C_4,6,undirected
Sc5_A_5,Sc5_A_19,1,undirected
Sc5_A_5,Sc5_B_5,5,undirected
Sc5_A_5,Sc5_C_5,6,undirected
Sc5_A_6,Sc5_A_11,2,undirected
Sc5_A_6,Sc5_A_20,1,undirected
Sc5_A_6,Sc5_B_6,5,undirected
Sc5_A_6,Sc5_C_6,6,undirected
Sc5_A_7,Sc5_A_14,1,undirected
Sc5_A_7,Sc5_B_7,5,undirected
Sc5_A_7,Sc5_C_7,6,undirected
Sc5_A_8,Sc5_A_9,2,undirected
Sc5_A_8,Sc5_B_8,5,undirected
Sc5_A_8,Sc5_C_8,6,undirected
Sc5_A_9,Sc5_A_8,2,undirected
Sc5_A_9,Sc5_B_9,5,undirected
Sc5_A_9,Sc5_C_9,6,undirected
Sc5_B_1,Sc5_A_1,5,undirected
Sc5_B_1,Sc5_B_12,2,undirected
Sc5_B_1,Sc5_C_1,4,undirected
Sc5_B_10,Sc5_A_10,5,undirected
Sc5_B_10,Sc5_B_17,1,undirected
Sc5_B_10,Sc5_C_10,4,undirected
Sc5_B_11,Sc5_A_11,5,undirected
