Id,Label,Classes,Group
0,Sc5_A_1,Sc5,1
1,Sc5_A_10,Sc5,1
2,Sc5_A_11,Sc5,1
3,Sc5_A_12,Sc5,1
4,Sc5_A_13,Sc5,1
5,Sc5_A_14,Sc5,1
6,Sc5_A_15,Sc5,1
7,Sc5_A_16,Sc5,1
8,Sc5_A_17,Sc5,1
9,Sc5_A_18,Sc5,1
10,Sc5_A_19,Sc5,1
11,Sc5_A_2,Sc5,1
12,Sc5_A_20,Sc5,1
13,Sc5_A_3,Sc5,1
14,Sc5_A_4,Sc5,1
15,Sc5_A_5,Sc5,1
16,Sc5_A_6,Sc5,1
17,Sc5_A_7,Sc5,1
18,Sc5_A_8,Sc5,1
19,Sc5_A_9,Sc5,1
20,Sc5_B_1,Sc5,1
21,Sc5_B_10,Sc5,1
22,Sc5_B_11,Sc5,1
23,Sc5_B_12,Sc5,1
24,Sc5_B_13,Sc5,1
25,Sc5_B_14,Sc5,1
26,Sc5_B_15,Sc5,1
27,Sc5_B_16,Sc5,1
28,Sc5_B_17,Sc5,1
29,Sc5_B_18,Sc5,1
30,Sc5_B_19,Sc5,1
31,Sc5_B_2,Sc5,1
32,Sc5_B_20,Sc5,1
33,Sc5_B_3,Sc5,1
34,Sc5_B_4,Sc5,1
35,Sc5_B_5,Sc5,1
36,Sc5_B_6,Sc5,1
37,Sc5_B_7,Sc5,1
38,Sc5_B_8,Sc5,1
39,Sc5_B_9,Sc5,1
40,Sc5_C_1,Sc5,1
41,Sc5_C_10,Sc5,1
42,Sc5_C_11,Sc5,1
43,Sc5_C_12,Sc5,1
44,Sc5_C_13,Sc5,1
45,Sc5_C_14,Sc5,1
46,Sc5_C_15,Sc5,1
47,Sc5_C_16,Sc5,1
48,Sc5_C_17,Sc5,1
49,Sc5_C_18,Sc5,1
50,Sc5_C_19,Sc5,1
51,Sc5_C_2,Sc5,1
52,Sc5_C_20,Sc5,1
53,Sc5_C_3,Sc5,1
54,Sc5_C_4,Sc5,1
55,Sc5_C_5,Sc5,1
56,Sc5_C_6,Sc5,1
57,Sc5_C_7,Sc5,1
58,Sc5_C_8,Sc5,1
59,Sc5_C_9,Sc5,1
