"Sc5_A_1" "Sc5_A_10" "Sc5_A_11" "Sc5_A_12" "Sc5_A_13" "Sc5_A_14" "Sc5_A_15" "Sc5_A_16" "Sc5_A_17" "Sc5_A_18" "Sc5_A_19" "Sc5_A_2" "Sc5_A_20" "Sc5_A_3" "Sc5_A_4" "Sc5_A_5" "Sc5_A_6" "Sc5_A_7" "Sc5_A_8" "Sc5_A_9" "Sc5_B_1" "Sc5_B_10" "Sc5_B_11" "Sc5_B_12" "Sc5_B_13" "Sc5_B_14" "Sc5_B_15" "Sc5_B_16" "Sc5_B_17" "Sc5_B_18" "Sc5_B_19" "Sc5_B_2" "Sc5_B_20" "Sc5_B_3" "Sc5_B_4" "Sc5_B_5" "Sc5_B_6" "Sc5_B_7" "Sc5_B_8" "Sc5_B_9" "Sc5_C_1" "Sc5_C_10" "Sc5_C_11" "Sc5_C_12" "Sc5_C_13" "Sc5_C_14" "Sc5_C_15" "Sc5_C_16" "Sc5_C_17" "Sc5_C_18" "Sc5_C_19" "Sc5_C_2" "Sc5_C_20" "Sc5_C_3" "Sc5_C_4" "Sc5_C_5" "Sc5_C_6" "Sc5_C_7" "Sc5_C_8" "Sc5_C_9"
"the" 5.21172638436482 2.52365930599369 4.04984423676012 2.48447204968944 4.15335463258786 2.80373831775701 1.58227848101266 3.54838709677419 3.77358490566038 1.89873417721519 1.88087774294671 3.79746835443038 3.73831775700935 2.80373831775701 2.88461538461538 2.21518987341772 5.16129032258065 2.58064516129032 2.87539936102236 2.84810126582278 5.21172638436482 2.52365930599369 4.04984423676012 2.48447204968944 4.15335463258786 2.80373831775701 1.58227848101266 3.54838709677419 3.77358490566038 1.91693290734824 1.88087774294671 3.79746835443038 3.73831775700935 2.80373831775701 2.88461538461538 2.21518987341772 5.16129032258065 2.58064516129032 2.87539936102236 2.84810126582278 5.24590163934426 2.53968253968254 4.07523510971787 2.5 4.18006430868167 2.82131661442006 1.59235668789809 3.57142857142857 3.79746835443038 1.92926045016077 1.89274447949527 3.82165605095541 3.76175548589342 2.82131661442006 2.90322580645161 2.22929936305732 5.19480519480519 2.5974025974026 2.89389067524116 2.86624203821656
"of" 2.93159609120521 3.78548895899054 2.80373831775701 1.86335403726708 1.59744408945687 1.86915887850467 3.16455696202532 2.90322580645161 2.83018867924528 1.58227848101266 2.50783699059561 1.89873417721519 1.55763239875389 2.18068535825545 2.56410256410256 1.58227848101266 3.54838709677419 1.29032258064516 2.23642172523962 1.58227848101266 2.93159609120521 3.78548895899054 2.80373831775701 1.86335403726708 1.59744408945687 1.86915887850467 3.16455696202532 2.90322580645161 2.83018867924528 1.59744408945687 2.50783699059561 1.89873417721519 1.55763239875389 2.18068535825545 2.56410256410256 1.58227848101266 3.54838709677419 1.29032258064516 2.23642172523962 1.58227848101266 3.27868852459016 4.12698412698413 3.13479623824451 2.1875 1.92926045016077 2.19435736677116 3.5031847133758 3.24675324675325 3.16455696202532 1.92926045016077 2.8391167192429 2.22929936305732 1.88087774294671 2.50783699059561 2.90322580645161 1.91082802547771 3.8961038961039 1.62337662337662 2.57234726688103 1.91082802547771
"a" 1.95439739413681 1.89274447949527 1.86915887850467 3.1055900621118 2.55591054313099 1.86915887850467 2.53164556962025 1.61290322580645 2.51572327044025 1.26582278481013 2.50783699059561 2.84810126582278 1.24610591900312 2.49221183800623 1.6025641025641 2.21518987341772 1.61290322580645 1.61290322580645 2.23642172523962 2.53164556962025 1.62866449511401 1.57728706624606 1.55763239875389 2.79503105590062 2.23642172523962 1.55763239875389 2.21518987341772 1.29032258064516 2.20125786163522 0.958466453674121 2.19435736677116 2.53164556962025 0.934579439252336 2.18068535825545 1.28205128205128 1.89873417721519 1.29032258064516 1.29032258064516 1.91693290734824 2.21518987341772 1.63934426229508 1.58730158730159 1.56739811912226 2.8125 2.2508038585209 1.56739811912226 2.22929936305732 1.2987012987013 2.21518987341772 0.964630225080386 2.20820189274448 2.54777070063694 0.940438871473354 2.19435736677116 1.29032258064516 1.91082802547771 1.2987012987013 1.2987012987013 1.92926045016077 2.22929936305732
"and" 1.62866449511401 1.26182965299685 1.86915887850467 1.5527950310559 1.91693290734824 1.24610591900312 1.89873417721519 2.58064516129032 0.628930817610063 1.58227848101266 0.940438871473354 1.58227848101266 1.24610591900312 1.24610591900312 2.88461538461538 1.26582278481013 1.61290322580645 1.61290322580645 1.59744408945687 1.58227848101266 1.62866449511401 1.26182965299685 1.86915887850467 1.5527950310559 1.91693290734824 1.24610591900312 1.89873417721519 2.58064516129032 0.628930817610063 1.59744408945687 0.940438871473354 1.58227848101266 1.24610591900312 1.24610591900312 2.88461538461538 1.26582278481013 1.61290322580645 1.61290322580645 1.59744408945687 1.58227848101266 2.29508196721311 1.9047619047619 2.50783699059561 2.1875 2.57234726688103 1.88087774294671 2.54777070063694 3.24675324675325 1.26582278481013 2.2508038585209 1.57728706624606 2.22929936305732 1.88087774294671 1.88087774294671 3.54838709677419 1.91082802547771 2.27272727272727 2.27272727272727 2.2508038585209 2.22929936305732
"in" 1.95439739413681 2.20820189274448 1.24610591900312 2.17391304347826 0.958466453674121 2.80373831775701 1.89873417721519 0.967741935483871 0.943396226415094 2.84810126582278 1.25391849529781 1.58227848101266 2.49221183800623 3.11526479750779 0.641025641025641 1.58227848101266 1.61290322580645 2.58064516129032 0.638977635782748 1.26582278481013 1.95439739413681 2.20820189274448 1.24610591900312 2.17391304347826 0.958466453674121 2.80373831775701 1.89873417721519 0.967741935483871 0.943396226415094 2.55591054313099 1.25391849529781 1.58227848101266 2.49221183800623 3.11526479750779 0.641025641025641 1.58227848101266 1.61290322580645 2.58064516129032 0.638977635782748 1.26582278481013 1.9672131147541 2.22222222222222 1.25391849529781 2.1875 0.964630225080386 2.82131661442006 1.91082802547771 0.974025974025974 0.949367088607595 2.57234726688103 1.26182965299685 1.59235668789809 2.50783699059561 3.13479623824451 0.645161290322581 1.59235668789809 1.62337662337662 2.5974025974026 0.643086816720257 1.27388535031847
"to" 0.977198697068404 1.26182965299685 1.55763239875389 0.62111801242236 1.59744408945687 1.24610591900312 0.949367088607595 0.967741935483871 1.57232704402516 1.26582278481013 1.25391849529781 0.632911392405063 0.623052959501558 1.55763239875389 0.961538461538462 1.26582278481013 1.61290322580645 1.61290322580645 0.958466453674121 1.26582278481013 0.977198697068404 1.26182965299685 1.55763239875389 0.62111801242236 1.59744408945687 1.24610591900312 0.949367088607595 0.967741935483871 1.57232704402516 1.2779552715655 1.25391849529781 0.632911392405063 0.623052959501558 1.55763239875389 0.961538461538462 1.26582278481013 1.61290322580645 1.61290322580645 0.958466453674121 1.26582278481013 1.31147540983607 1.58730158730159 1.88087774294671 0.9375 1.92926045016077 1.56739811912226 1.27388535031847 1.2987012987013 1.89873417721519 1.60771704180064 1.57728706624606 0.955414012738854 0.940438871473354 1.88087774294671 1.29032258064516 1.59235668789809 1.94805194805195 1.94805194805195 1.28617363344051 1.59235668789809
"that" 1.30293159609121 1.26182965299685 1.86915887850467 0.62111801242236 1.2779552715655 1.55763239875389 1.89873417721519 1.93548387096774 1.57232704402516 1.58227848101266 0.626959247648903 0.316455696202532 1.86915887850467 0.623052959501558 1.6025641025641 0.632911392405063 0.967741935483871 1.29032258064516 2.23642172523962 1.26582278481013 1.30293159609121 1.26182965299685 1.86915887850467 0.62111801242236 1.2779552715655 1.55763239875389 1.89873417721519 1.93548387096774 1.57232704402516 1.59744408945687 0.626959247648903 0.316455696202532 1.86915887850467 0.623052959501558 1.6025641025641 0.632911392405063 0.967741935483871 1.29032258064516 2.23642172523962 1.26582278481013 0.983606557377049 0.952380952380952 1.56739811912226 0.3125 0.964630225080386 1.25391849529781 1.59235668789809 1.62337662337662 1.26582278481013 1.28617363344051 0.315457413249211 0 1.56739811912226 0.313479623824451 1.29032258064516 0.318471337579618 0.649350649350649 0.974025974025974 1.92926045016077 0.955414012738854
"with" 0.977198697068404 0.946372239747634 1.55763239875389 1.24223602484472 0.958466453674121 0.934579439252336 0.949367088607595 1.29032258064516 0.943396226415094 1.58227848101266 1.25391849529781 0.632911392405063 0.934579439252336 1.86915887850467 1.28205128205128 2.21518987341772 1.29032258064516 0.645161290322581 0.958466453674121 1.26582278481013 1.30293159609121 1.26182965299685 1.86915887850467 1.5527950310559 1.2779552715655 1.24610591900312 1.26582278481013 1.61290322580645 1.25786163522013 1.91693290734824 1.56739811912226 0.949367088607595 1.24610591900312 2.18068535825545 1.6025641025641 2.53164556962025 1.61290322580645 0.967741935483871 1.2779552715655 1.58227848101266 0.655737704918033 0.634920634920635 1.25391849529781 0.9375 0.643086816720257 0.626959247648903 0.636942675159236 0.974025974025974 0.632911392405063 1.28617363344051 0.946372239747634 0.318471337579618 0.626959247648903 1.56739811912226 0.967741935483871 1.91082802547771 0.974025974025974 0.324675324675325 0.643086816720257 0.955414012738854
"s" 0 1.26182965299685 0.311526479750779 1.24223602484472 0.638977635782748 1.24610591900312 0.949367088607595 0 0.943396226415094 1.26582278481013 0.313479623824451 1.58227848101266 1.55763239875389 0.311526479750779 1.28205128205128 0.632911392405063 0.967741935483871 0.967741935483871 0.638977635782748 0.632911392405063 0 1.26182965299685 0.311526479750779 1.24223602484472 0.638977635782748 1.24610591900312 0.949367088607595 0 0.943396226415094 1.2779552715655 0.313479623824451 1.58227848101266 1.55763239875389 0.311526479750779 1.28205128205128 0.632911392405063 0.967741935483871 0.967741935483871 0.638977635782748 0.632911392405063 0 1.26984126984127 0.313479623824451 1.25 0.643086816720257 1.25391849529781 0.955414012738854 0 0.949367088607595 1.28617363344051 0.315457413249211 1.59235668789809 1.56739811912226 0.313479623824451 1.29032258064516 0.636942675159236 0.974025974025974 0.974025974025974 0.643086816720257 0.636942675159236
"by" 0 1.26182965299685 0.934579439252336 1.24223602484472 0.319488817891374 0.623052959501558 0.949367088607595 1.29032258064516 1.25786163522013 0.632911392405063 0.313479623824451 1.26582278481013 1.55763239875389 0.934579439252336 0.320512820512821 0.316455696202532 0.645161290322581 0.32258064516129 0.638977635782748 1.26582278481013 0 1.26182965299685 0.934579439252336 1.24223602484472 0.319488817891374 0.623052959501558 0.949367088607595 1.29032258064516 1.25786163522013 0.638977635782748 0.313479623824451 1.26582278481013 1.55763239875389 0.934579439252336 0.320512820512821 0.316455696202532 0.645161290322581 0.32258064516129 0.638977635782748 1.26582278481013 0 1.26984126984127 0.940438871473354 1.25 0.321543408360129 0.626959247648903 0.955414012738854 1.2987012987013 1.26582278481013 0.643086816720257 0.315457413249211 1.27388535031847 1.56739811912226 0.940438871473354 0.32258064516129 0.318471337579618 0.649350649350649 0.324675324675325 0.643086816720257 1.27388535031847
