scenario,method,acc_1nn_loo,ari_3cluster,silhouette
1,delta,1.0,1.0,0.674737869464218
1,openai,1.0,1.0,0.9176702207385823
1,spacy,1.0,1.0,0.9341842622011837
2,delta,1.0,1.0,0.6562155071872012
2,openai,1.0,1.0,0.8859819067858076
2,spacy,1.0,1.0,0.8904848677806868
3,delta,0.8333333333333334,0.517011075518707,
3,openai,0.9166666666666666,0.5496526982673079,0.38949410305024307
3,spacy,0.8666666666666667,0.405130844149656,0.30784632024738035
4,delta,1.0,1.0,
4,openai,1.0,1.0,0.9999853191666183
4,spacy,1.0,1.0,0.9999999999999839
5,delta,0.0,-0.034545930384716046,0.10052264724777128
5,openai,0.0,-0.027079303675048357,0.022189067406322822
5,spacy,0.0,-0.03334841336521683,-0.024925956047165663
