scenario,representation,acc_1nn_loo,ari_k3,silhouette
1,Cosine Delta,1.0,1.0,0.674737869464218
1,OpenAI,1.0,1.0,0.9176702207385823
1,spaCy,1.0,1.0,0.9341842622011837
2,Cosine Delta,1.0,1.0,0.6562155071872012
2,OpenAI,1.0,1.0,0.8859819067858076
2,spaCy,1.0,1.0,0.8904848677806868
3,Cosine Delta,0.8333333333333334,0.517011075518707,0.12720702021584038
3,OpenAI,0.9166666666666666,0.5496526982673079,0.38949410305024307
3,spaCy,0.8666666666666667,0.405130844149656,0.30784632024738035
4,Cosine Delta,1.0,1.0,0.9999999999999999
4,OpenAI,1.0,1.0,0.9999853191666183
4,spaCy,1.0,1.0,0.9999999999999839
5,Cosine Delta,0.0,-0.034545930384716046,0.10052264724777128
5,OpenAI,0.0,-0.027079303675048357,0.022189067406322822
5,spaCy,0.0,-0.03334841336521683,-0.024925956047165663
